repaired_recurrent_class_id,state_count,undirected_edge_count,directed_transition_count,native_state_count,derived_only_state_count,left_boundary_flag,right_boundary_flag,gate_word_flag,merged_boundary_flag,spectral_certified_flag
0,787,2501,5002,532,255,1,1,1,1,1
1,15,21,42,15,0,0,0,0,0,0
2,11,13,26,0,11,0,0,0,0,0
3,6,5,10,0,6,0,0,0,0,0
4,4,3,6,4,0,0,0,0,0,0
5,2,1,2,1,1,0,0,0,0,0
6,2,1,2,1,1,0,0,0,0,0
7,2,1,2,2,0,0,0,0,0,0
8,2,1,2,0,2,0,0,0,0,0
9,2,1,2,2,0,0,0,0,0,0
10,2,1,2,0,2,0,0,0,0,0
11,1,0,0,1,0,0,0,0,0,0
12,1,0,0,0,1,0,0,0,0,0
13,1,0,0,0,1,0,0,0,0,0
14,1,0,0,0,1,0,0,0,0,0
15,1,0,0,1,0,0,0,0,0,0
16,1,0,0,0,1,0,0,0,0,0
17,1,0,0,0,1,0,0,0,0,0
18,1,0,0,1,0,0,0,0,0,0
19,1,0,0,0,1,0,0,0,0,0
20,1,0,0,1,0,0,0,0,0,0
21,1,0,0,1,0,0,0,0,0,0
