automaton_state_id,grammar_cell_id,repaired_recurrent_class_id,native_recurrent_class_id,word_length,word_symbol_0_id,word_symbol_1_id,word_symbol_2_id,word_symbol_3_id,word_symbol_4_id,word_symbol_5_id,word_symbol_6_id,word_symbol_7_id,word_symbol_8_id,word_symbol_9_id,word_symbol_10_id,word_symbol_11_id,word_symbol_12_id,word_symbol_13_id,word_symbol_14_id,word_symbol_15_id,degree,native_neighbor_count,derived_neighbor_count,native_transition_degree,derived_transition_degree,native_repair_flag,derived_repair_flag,derived_only_flag,trace_signature_total_variation,first_return_closed_path_count,normalized_tail_template_count,left_boundary_flag,right_boundary_flag,gate_word_flag,merged_recurrent_class_flag,spectral_side_code
0,0,0,-1,16,2,1,1,3,4,5,2,1,1,2,5,5,2,1,4,5,6,0,6,0,6,0,1,1,197,1408,9,0,0,0,1,-1
1,1,0,-1,15,2,1,1,3,4,5,2,1,1,5,5,2,1,4,5,-1,7,0,7,0,7,0,1,1,197,392,7,0,0,0,1,-1
2,2,0,-1,15,2,1,1,3,4,5,2,1,2,1,5,2,1,4,5,-1,5,0,5,0,5,0,1,1,197,32,2,0,0,0,1,-1
3,3,0,-1,16,2,1,1,3,4,5,2,1,2,1,5,5,2,1,4,5,6,0,6,0,6,0,1,1,197,112,7,0,0,0,1,-1
4,4,0,-1,15,2,1,1,3,4,5,2,1,2,2,5,2,1,4,5,-1,6,0,6,0,6,0,1,1,197,176,3,0,0,0,1,-1
5,5,0,-1,16,2,1,1,3,4,5,2,1,2,2,5,5,2,1,4,5,7,0,7,0,7,0,1,1,197,832,9,0,0,0,1,-1
6,6,0,-1,15,2,1,1,3,4,5,2,1,2,5,1,2,1,4,5,-1,5,0,5,0,5,0,1,1,197,24,1,0,0,0,1,-1
7,7,0,-1,14,2,1,1,3,4,5,2,1,2,5,2,1,4,5,-1,-1,11,0,11,0,11,0,1,1,197,40,3,0,0,0,1,-1
8,8,0,-1,15,2,1,1,3,4,5,2,1,2,5,2,2,1,4,5,-1,6,0,6,0,6,0,1,1,197,152,9,0,0,0,1,-1
9,9,0,-1,16,2,1,1,3,4,5,2,1,2,5,2,5,2,1,4,5,5,0,5,0,5,0,1,1,197,40,3,0,0,0,1,-1
10,10,0,-1,15,2,1,1,3,4,5,2,1,2,5,5,1,1,4,5,-1,6,0,6,0,6,0,1,1,197,144,6,0,0,0,1,-1
11,11,0,-1,16,2,1,1,3,4,5,2,1,2,5,5,1,2,1,4,5,6,0,6,0,6,0,1,1,197,72,1,0,0,0,1,-1
12,12,0,-1,14,2,1,1,3,4,5,2,1,2,5,5,1,4,5,-1,-1,5,0,5,0,5,0,1,1,197,72,5,0,0,0,1,-1
13,13,0,-1,16,2,1,1,3,4,5,2,1,2,5,5,2,1,1,4,5,8,0,8,0,8,0,1,1,197,496,6,0,0,0,1,-1
14,14,0,-1,15,2,1,1,3,4,5,2,1,2,5,5,2,1,1,5,-1,6,0,6,0,6,0,1,1,197,584,21,0,0,0,1,-1
15,15,0,-1,15,2,1,1,3,4,5,2,1,2,5,5,2,1,2,5,-1,5,0,5,0,5,0,1,1,197,336,12,0,0,0,1,-1
16,16,0,-1,16,2,1,1,3,4,5,2,1,2,5,5,2,1,3,4,5,5,0,5,0,5,0,1,1,197,496,6,0,0,0,1,-1
17,17,0,-1,15,2,1,1,3,4,5,2,1,2,5,5,2,1,4,3,-1,3,0,3,0,3,0,1,1,197,496,18,0,0,0,1,-1
18,18,0,-1,16,2,1,1,3,4,5,2,1,2,5,5,2,1,4,4,5,5,0,5,0,5,0,1,1,197,744,9,0,0,0,1,-1
19,19,0,-1,15,2,1,1,3,4,5,2,1,2,5,5,2,1,4,5,-1,36,0,36,0,36,0,1,1,197,248,9,0,0,0,1,-1
20,20,0,-1,16,2,1,1,3,4,5,2,1,2,5,5,2,1,4,5,2,3,0,3,0,3,0,1,1,197,496,6,0,0,0,1,-1
