stage_id,stage_code,coordinate_source_code,poincare_available_flag,symbolic_chart_flag,x_x1e12,y_x1e12,poincare_radius_x1e12,r_holonomy_x1e12,h_conductance_x1e12,h_drop_from_base_x1e12,inside_unit_disk_flag,h4_metric_certified_flag
0,0,0,1,0,67572661820,4522140858,67723810000,1000000000000,4329004000,0,1,0
1,1,1,0,1,-150000000000,364963500000,394586310371,1000000000000,3649635000,679369000,1,0
2,2,1,0,1,0,264550300000,264550300000,1000000000000,2645503000,1683501000,1,0
3,3,1,0,1,150000000000,261551900000,301511851166,1000000000000,2615519000,1713485000,1,0
4,4,1,0,1,300000000000,261096600000,397707725008,1000000000000,2610966000,1718038000,1,0
