window_id,start_state_id,end_state_id,left_symbol_id,middle_symbol_id,right_symbol_id,triple_id,canonical_triple_id,canonical_first_symbol_id,canonical_second_symbol_id,canonical_third_symbol_id,left_final_matches_right_final,matches_direct_sorted_normal_form,sector_coverage_count,full_sector_flag,signature_union_count,word_triple_multiplicity,left_path_swap_count,right_path_swap_count,canonical_triple_first_occurrence_flag
1,0,3,5,5,0,210,20,0,5,5,1,1,5,0,146,216,2,2,1
2,1,4,5,0,0,180,5,0,0,5,1,1,5,0,146,216,2,2,1
3,2,5,0,0,1,1,1,0,0,1,1,1,4,0,90,216,0,0,1
4,3,6,0,1,3,9,8,0,1,3,1,1,5,0,126,216,0,0,1
5,4,7,1,3,1,55,23,1,1,3,1,1,5,0,116,216,1,1,1
6,5,8,3,1,5,119,32,1,3,5,1,1,6,1,175,216,1,1,1
7,6,9,1,5,3,69,32,1,3,5,1,1,6,1,175,216,1,1,0
8,7,10,5,3,5,203,51,3,5,5,1,1,5,0,132,216,1,1,1
9,8,11,3,5,5,143,51,3,5,5,1,1,5,0,132,216,0,0,0
10,9,12,5,5,3,213,51,3,5,5,1,1,5,0,132,216,2,2,0
11,10,13,5,3,5,203,51,3,5,5,1,1,5,0,132,216,1,1,0
12,11,14,3,5,3,141,48,3,3,5,1,1,5,0,132,216,1,1,1
