branch_order_rank,negative_carrier_mask_class_id,accept_state_id,word_length,word_code_base6,word_symbol_bitset,missing_gate_symbol_bitset,trigram_window_count,unique_trigram_count,associativity_certified_window_count,full_sector_window_count,min_signature_union_count,max_signature_union_count,canonical_triple_bitset
1,13,1,1,5,32,31,0,0,0,0,0,0,0
2,7,3,3,210,33,30,1,1,1,0,146,146,1048576
3,8,5,5,7561,35,28,3,3,3,0,90,146,1048610
4,9,8,8,1633295,43,20,6,6,6,1,90,175,4304404770
5,6,12,12,2116751181,43,20,10,10,10,2,90,175,2251804118090018
6,4,14,14,76203042549,43,20,12,11,12,2,90,175,2533279094800674
