aext_row_id,face_id,vertex_id,face_type_code,face_size,slack_x1e12,test_h_x1e12,test_value_x1e12,positive_flag
0,0,5,0,5,350487408079,1000000000000,350487408079,1
1,0,6,0,5,700974816159,1000000000000,700974816159,1
2,0,7,0,5,700974816159,1000000000000,700974816159,1
3,0,8,0,5,1268075355060,1000000000000,1268075355060,1
4,0,9,0,5,1268075355060,1000000000000,1268075355060,1
5,0,10,0,5,350487408079,1000000000000,350487408079,1
6,0,11,0,5,700974816159,1000000000000,700974816159,1
7,0,12,0,5,1268075355060,1000000000000,1268075355060,1
8,0,13,0,5,1268075355060,1000000000000,1268075355060,1
9,0,14,0,5,700974816159,1000000000000,700974816159,1
10,0,15,0,5,350487408079,1000000000000,350487408079,1
11,0,16,0,5,700974816159,1000000000000,700974816159,1
12,0,17,0,5,1268075355060,1000000000000,1268075355060,1
13,0,18,0,5,1268075355060,1000000000000,1268075355060,1
14,0,19,0,5,700974816159,1000000000000,700974816159,1
15,0,20,0,5,1835175893962,1000000000000,1835175893962,1
16,0,21,0,5,1835175893962,1000000000000,1835175893962,1
17,0,22,0,5,2752763840942,1000000000000,2752763840942,1
18,0,23,0,5,2402276432863,1000000000000,2402276432863,1
19,0,24,0,5,2402276432863,1000000000000,2402276432863,1
20,0,25,0,5,3103251249022,1000000000000,3103251249022,1
21,0,26,0,5,3103251249022,1000000000000,3103251249022,1
22,0,27,0,5,3103251249022,1000000000000,3103251249022,1
23,0,28,0,5,3103251249022,1000000000000,3103251249022,1
24,0,29,0,5,3103251249022,1000000000000,3103251249022,1
25,0,30,0,5,1835175893962,1000000000000,1835175893962,1
26,0,31,0,5,2402276432863,1000000000000,2402276432863,1
27,0,32,0,5,2752763840942,1000000000000,2752763840942,1
28,0,33,0,5,2402276432863,1000000000000,2402276432863,1
29,0,34,0,5,1835175893962,1000000000000,1835175893962,1
30,0,35,0,5,1835175893962,1000000000000,1835175893962,1
31,0,36,0,5,1835175893962,1000000000000,1835175893962,1
32,0,37,0,5,2402276432863,1000000000000,2402276432863,1
33,0,38,0,5,2752763840942,1000000000000,2752763840942,1
34,0,39,0,5,2402276432863,1000000000000,2402276432863,1
35,0,40,0,5,2752763840942,1000000000000,2752763840942,1
36,0,41,0,5,2402276432863,1000000000000,2402276432863,1
37,0,42,0,5,1835175893962,1000000000000,1835175893962,1
38,0,43,0,5,2402276432863,1000000000000,2402276432863,1
39,0,44,0,5,1835175893962,1000000000000,1835175893962,1
40,0,45,0,5,350487408079,1000000000000,350487408079,1
41,0,46,0,5,700974816159,1000000000000,700974816159,1
42,0,47,0,5,1268075355060,1000000000000,1268075355060,1
43,0,48,0,5,1268075355060,1000000000000,1268075355060,1
44,0,49,0,5,700974816159,1000000000000,700974816159,1
45,0,50,0,5,1835175893962,1000000000000,1835175893962,1
46,0,51,0,5,2752763840942,1000000000000,2752763840942,1
47,0,52,0,5,2402276432863,1000000000000,2402276432863,1
48,0,53,0,5,2402276432863,1000000000000,2402276432863,1
49,0,54,0,5,1835175893962,1000000000000,1835175893962,1
50,0,55,0,5,350487408079,1000000000000,350487408079,1
51,0,56,0,5,700974816159,1000000000000,700974816159,1
52,0,57,0,5,1268075355060,1000000000000,1268075355060,1
53,0,58,0,5,700974816159,1000000000000,700974816159,1
54,0,59,0,5,1268075355060,1000000000000,1268075355060,1
55,1,0,0,5,350487408079,1000000000000,350487408079,1
56,1,1,0,5,700974816159,1000000000000,700974816159,1
57,1,2,0,5,700974816159,1000000000000,700974816159,1
58,1,3,0,5,1268075355060,1000000000000,1268075355060,1
59,1,4,0,5,1268075355060,1000000000000,1268075355060,1
60,1,10,0,5,700974816159,1000000000000,700974816159,1
61,1,11,0,5,350487408079,1000000000000,350487408079,1
62,1,12,0,5,700974816159,1000000000000,700974816159,1
63,1,13,0,5,1268075355060,1000000000000,1268075355060,1
64,1,14,0,5,1268075355060,1000000000000,1268075355060,1
65,1,15,0,5,700974816159,1000000000000,700974816159,1
66,1,16,0,5,350487408079,1000000000000,350487408079,1
67,1,17,0,5,700974816159,1000000000000,700974816159,1
68,1,18,0,5,1268075355060,1000000000000,1268075355060,1
69,1,19,0,5,1268075355060,1000000000000,1268075355060,1
70,1,20,0,5,350487408079,1000000000000,350487408079,1
71,1,21,0,5,700974816159,1000000000000,700974816159,1
72,1,22,0,5,1268075355060,1000000000000,1268075355060,1
73,1,23,0,5,1268075355060,1000000000000,1268075355060,1
74,1,24,0,5,700974816159,1000000000000,700974816159,1
75,1,25,0,5,1835175893962,1000000000000,1835175893962,1
76,1,26,0,5,2402276432863,1000000000000,2402276432863,1
77,1,27,0,5,1835175893962,1000000000000,1835175893962,1
78,1,28,0,5,2752763840942,1000000000000,2752763840942,1
79,1,29,0,5,2402276432863,1000000000000,2402276432863,1
80,1,30,0,5,1835175893962,1000000000000,1835175893962,1
81,1,31,0,5,1835175893962,1000000000000,1835175893962,1
82,1,32,0,5,2402276432863,1000000000000,2402276432863,1
83,1,33,0,5,2752763840942,1000000000000,2752763840942,1
84,1,34,0,5,2402276432863,1000000000000,2402276432863,1
85,1,35,0,5,350487408079,1000000000000,350487408079,1
86,1,36,0,5,700974816159,1000000000000,700974816159,1
87,1,37,0,5,700974816159,1000000000000,700974816159,1
88,1,38,0,5,1268075355060,1000000000000,1268075355060,1
89,1,39,0,5,1268075355060,1000000000000,1268075355060,1
90,1,40,0,5,3103251249022,1000000000000,3103251249022,1
91,1,41,0,5,3103251249022,1000000000000,3103251249022,1
92,1,42,0,5,3103251249022,1000000000000,3103251249022,1
93,1,43,0,5,3103251249022,1000000000000,3103251249022,1
94,1,44,0,5,3103251249022,1000000000000,3103251249022,1
95,1,45,0,5,1835175893962,1000000000000,1835175893962,1
96,1,46,0,5,1835175893962,1000000000000,1835175893962,1
97,1,47,0,5,2402276432863,1000000000000,2402276432863,1
98,1,48,0,5,2752763840942,1000000000000,2752763840942,1
99,1,49,0,5,2402276432863,1000000000000,2402276432863,1
100,1,50,0,5,1835175893962,1000000000000,1835175893962,1
101,1,51,0,5,2402276432863,1000000000000,2402276432863,1
