check_id,left_opcode_id,right_opcode_id,rule_code,pass_flag
0,0,1,0,1
1,0,1,1,1
2,0,1,2,1
3,1,2,0,1
4,1,2,1,1
5,1,2,2,1
6,2,3,0,1
7,2,3,1,1
8,2,3,2,1
9,3,4,0,1
10,3,4,1,1
11,3,4,2,1
12,4,5,0,1
13,4,5,1,1
14,4,5,2,1
15,5,6,0,1
16,5,6,1,1
17,5,6,2,1
18,6,7,0,1
19,6,7,1,1
20,6,7,2,1
21,7,8,0,1
22,7,8,1,1
23,7,8,2,1
24,8,9,0,1
25,8,9,1,1
26,8,9,2,1
27,9,10,0,1
28,9,10,1,1
29,9,10,2,1
30,10,11,0,1
31,10,11,1,1
32,10,11,2,1
33,11,12,0,1
34,11,12,1,1
35,11,12,2,1
36,12,13,0,1
37,12,13,1,1
38,12,13,2,1
39,13,14,0,1
40,13,14,1,1
41,13,14,2,1
42,14,15,0,1
43,14,15,1,1
44,14,15,2,1
45,15,16,0,1
46,15,16,1,1
47,15,16,2,1
48,16,17,0,1
49,16,17,1,1
50,16,17,2,1
51,17,18,0,1
52,17,18,1,1
53,17,18,2,1
54,18,19,0,1
55,18,19,1,1
56,18,19,2,1
57,19,20,0,1
58,19,20,1,1
59,19,20,2,1
60,20,21,0,1
61,20,21,1,1
62,20,21,2,1
63,21,22,0,1
64,21,22,1,1
65,21,22,2,1
66,22,23,0,1
67,22,23,1,1
68,22,23,2,1
69,23,24,0,1
70,23,24,1,1
71,23,24,2,1
72,24,25,0,1
73,24,25,1,1
74,24,25,2,1
75,25,26,0,1
76,25,26,1,1
77,25,26,2,1
78,26,27,0,1
79,26,27,1,1
80,26,27,2,1
81,27,28,0,1
82,27,28,1,1
83,27,28,2,1
84,28,29,0,1
85,28,29,1,1
86,28,29,2,1
87,29,30,0,1
88,29,30,1,1
89,29,30,2,1
90,30,31,0,1
91,30,31,1,1
92,30,31,2,1
93,31,32,0,1
94,31,32,1,1
95,31,32,2,1
96,32,33,0,1
97,32,33,1,1
98,32,33,2,1
99,33,34,0,1
100,33,34,1,1
101,33,34,2,1
102,34,35,0,1
103,34,35,1,1
104,34,35,2,1
105,35,36,0,1
106,35,36,1,1
107,35,36,2,1
108,36,37,0,1
109,36,37,1,1
110,36,37,2,1
111,37,38,0,1
112,37,38,1,1
113,37,38,2,1
114,38,39,0,1
115,38,39,1,1
116,38,39,2,1
117,39,40,0,1
118,39,40,1,1
119,39,40,2,1
120,40,41,0,1
121,40,41,1,1
122,40,41,2,1
123,41,42,0,1
124,41,42,1,1
125,41,42,2,1
126,42,43,0,1
127,42,43,1,1
128,42,43,2,1
129,43,44,0,1
130,43,44,1,1
131,43,44,2,1
132,44,45,0,1
133,44,45,1,1
134,44,45,2,1
135,45,46,0,1
136,45,46,1,1
137,45,46,2,1
138,46,47,0,1
139,46,47,1,1
140,46,47,2,1
141,47,48,0,1
142,47,48,1,1
143,47,48,2,1
144,48,49,0,1
145,48,49,1,1
146,48,49,2,1
147,49,50,0,1
148,49,50,1,1
149,49,50,2,1
150,50,51,0,1
151,50,51,1,1
152,50,51,2,1
153,51,52,0,1
154,51,52,1,1
155,51,52,2,1
156,52,53,0,1
157,52,53,1,1
158,52,53,2,1
159,53,54,0,1
160,53,54,1,1
161,53,54,2,1
162,54,55,0,1
163,54,55,1,1
164,54,55,2,1
165,55,56,0,1
166,55,56,1,1
167,55,56,2,1
168,56,57,0,1
169,56,57,1,1
170,56,57,2,1
171,57,58,0,1
172,57,58,1,1
173,57,58,2,1
