carrier_id,atom_id,step_atom_id,candidate_basis_id,incidence_value,selector_domain_count,counterterm_scaled,weight_num,weight_den,common_den_weight_num,row_integral_flag,exact_weight_flag,operation_backed_flag
0,0,0,0,3,5,100000000000,20000000000,1,400000000000,1,1,0
1,0,2,2,-2,5,100000000000,20000000000,1,400000000000,1,1,0
2,0,9,9,4,5,100000000000,20000000000,1,400000000000,1,1,0
3,0,11,11,-4,5,100000000000,20000000000,1,400000000000,1,1,0
4,0,23,23,-1,5,100000000000,20000000000,1,400000000000,1,1,0
5,1,5,5,-1,6,7311715047,2437238349,2,24372383490,0,1,0
6,1,9,9,-4,6,7311715047,2437238349,2,24372383490,0,1,0
7,1,14,14,4,6,7311715047,2437238349,2,24372383490,0,1,0
8,1,19,19,2,6,7311715047,2437238349,2,24372383490,0,1,0
9,1,22,22,-2,6,7311715047,2437238349,2,24372383490,0,1,0
10,1,23,23,1,6,7311715047,2437238349,2,24372383490,0,1,0
11,3,0,0,1,4,338229093,338229093,4,1691145465,0,1,0
12,3,2,2,-1,4,338229093,338229093,4,1691145465,0,1,0
13,3,3,3,1,4,338229093,338229093,4,1691145465,0,1,0
14,3,21,21,-1,4,338229093,338229093,4,1691145465,0,1,0
15,5,12,12,-1,4,13780907427,13780907427,4,68904537135,0,1,0
16,5,19,19,1,4,13780907427,13780907427,4,68904537135,0,1,0
17,5,21,21,1,4,13780907427,13780907427,4,68904537135,0,1,0
18,5,24,24,-1,4,13780907427,13780907427,4,68904537135,0,1,0
19,6,4,4,1,5,-338229093,-338229093,5,-1352916372,0,1,0
20,6,6,6,1,5,-338229093,-338229093,5,-1352916372,0,1,0
21,6,7,7,-2,5,-338229093,-338229093,5,-1352916372,0,1,0
22,6,21,21,-1,5,-338229093,-338229093,5,-1352916372,0,1,0
23,6,24,24,1,5,-338229093,-338229093,5,-1352916372,0,1,0
24,7,3,3,1,5,-9964232800,-1992846560,1,-39856931200,1,1,0
25,7,5,5,1,5,-9964232800,-1992846560,1,-39856931200,1,1,0
26,7,14,14,-4,5,-9964232800,-1992846560,1,-39856931200,1,1,0
27,7,18,18,3,5,-9964232800,-1992846560,1,-39856931200,1,1,0
28,7,20,20,-1,5,-9964232800,-1992846560,1,-39856931200,1,1,0
29,8,0,0,-1,5,22323258234,22323258234,5,89293032936,0,1,0
30,8,2,2,1,5,22323258234,22323258234,5,89293032936,0,1,0
31,8,10,10,1,5,22323258234,22323258234,5,89293032936,0,1,0
32,8,13,13,1,5,22323258234,22323258234,5,89293032936,0,1,0
33,8,17,17,-2,5,22323258234,22323258234,5,89293032936,0,1,0
34,9,4,4,-1,5,110236915020,22047383004,1,440947660080,1,1,0
35,9,7,7,2,5,110236915020,22047383004,1,440947660080,1,1,0
36,9,13,13,1,5,110236915020,22047383004,1,440947660080,1,1,0
37,9,18,18,-3,5,110236915020,22047383004,1,440947660080,1,1,0
38,9,20,20,1,5,110236915020,22047383004,1,440947660080,1,1,0
39,10,4,4,1,5,74652077480,14930415496,1,298608309920,1,1,0
40,10,8,8,2,5,74652077480,14930415496,1,298608309920,1,1,0
41,10,13,13,-2,5,74652077480,14930415496,1,298608309920,1,1,0
42,10,18,18,1,5,74652077480,14930415496,1,298608309920,1,1,0
43,10,20,20,-2,5,74652077480,14930415496,1,298608309920,1,1,0
44,11,0,0,1,4,-94652077480,-23663019370,1,-473260387400,1,1,0
45,11,2,2,-2,4,-94652077480,-23663019370,1,-473260387400,1,1,0
