atom_id,counterterm_scaled,selector_domain_count,weight_row_count,sum_num,sum_den,sum_equals_counterterm_flag,all_rows_integral_flag
0,100000000000,5,5,100000000000,1,1,1
1,7311715047,6,6,14623430094,2,1,0
3,338229093,4,4,1352916372,4,1,0
5,13780907427,4,4,55123629708,4,1,0
6,-338229093,5,5,-1691145465,5,1,0
7,-9964232800,5,5,-9964232800,1,1,1
8,22323258234,5,5,111616291170,5,1,0
9,110236915020,5,5,110236915020,1,1,1
10,74652077480,5,5,74652077480,1,1,1
11,-94652077480,4,4,-94652077480,1,1,1
12,-21092622474,5,5,-105463112370,5,1,0
13,338229093,3,3,338229093,1,1,1
14,-17835443871,5,5,-89177219355,5,1,0
16,-338229093,5,5,-1691145465,5,1,0
17,-2323258234,4,4,-4646516468,2,1,0
18,-2437238349,4,4,-9748953396,4,1,0
19,-180000000000,3,3,-180000000000,1,1,1
