object_row_id,object_role_code,long_univ_node_code,long_prof_object_code,sample_horizon,address_count,expected_address_count,baseline_address_count,address_delta,long_prof_object_flag,long_dev_object_flag,long_conv_object_flag,formal_extension_flag,tensor_lookup_object_flag,object_gap_flag
0,0,7,7,8,8,8,8,0,1,1,1,0,1,0
1,1,8,8,8,80,80,80,0,1,1,1,0,1,0
2,2,9,-1,16,16,16,8,8,0,0,1,1,0,1
3,3,10,-1,16,288,288,80,208,0,0,1,1,0,1
