horizon_id,sample_count,expected_sum_state_count,conv_marginal_count,long_dev_distribution_count,long_prof_deviation_law_count,long_ext_row_count,long_ext_formal_added_count,conv_positive_count,long_dev_backed_flag,long_prof_backed_flag,tensor_lookup_object_flag,object_gap_flag,formula_equal_flag
0,1,3,3,3,3,3,0,3,1,1,1,0,1
1,2,5,5,5,5,5,0,5,1,1,1,0,1
2,3,7,7,7,7,7,0,7,1,1,1,0,1
3,4,9,9,9,9,9,0,9,1,1,1,0,1
4,5,11,11,11,11,11,0,11,1,1,1,0,1
5,6,13,13,13,13,13,0,13,1,1,1,0,1
6,7,15,15,15,15,15,0,15,1,1,1,0,1
7,8,17,17,17,17,17,0,17,1,1,1,0,1
8,9,19,19,0,0,19,19,19,0,0,0,1,1
9,10,21,21,0,0,21,21,21,0,0,0,1,1
10,11,23,23,0,0,23,23,23,0,0,0,1,1
11,12,25,25,0,0,25,25,25,0,0,0,1,1
12,13,27,27,0,0,27,27,27,0,0,0,1,1
13,14,29,29,0,0,29,29,29,0,0,0,1,1
14,15,31,31,0,0,31,31,31,0,0,0,1,1
15,16,33,33,0,0,33,33,33,0,0,0,1,1
