path,kind,sha256,events,route_length
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\contradiction_4.cadical.drat,proof,98cc033a07a012e8ee7eb9b98b3ccb7428df3bf5fcfbb3ced14efebde20bc898,5,5
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\contradiction_4.cadical.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\contradiction_4.cadical.stdout.txt,stdout,a964974c10d9bb1655513a32f7da7c72fe84cee6cfb8c45bfb421b85c7398756,1,1
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\contradiction_4.cnf,dimacs,7faffbcb0ea91aefcf41eefea00b42410b78b2e868c7e1d67edd09277b3f2806,0,0
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\external_evidence_manifest.json,other,18384c6a58c11755ed4626f6ce90ebebe1b52a3be2b1c1391308c0122d158bd8,0,0
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\horn_chain_12.cadical.drat,proof,71f73f24984607d8860fd9d4bf698e46b90d5df7726374e97ac7af44979e816a,24,24
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\horn_chain_12.cadical.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\horn_chain_12.cadical.stdout.txt,stdout,5dd70f06273fabf48d7b66b9ce854dcd72e7dead5e8d763a96a0b670296ebe8c,1,1
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\horn_chain_12.cnf,dimacs,539ee15e758ab0c82af36cc4649523a4b4598ddada0b807d6e869faaf2f83a8e,0,0
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\horn_chain_8.cadical.drat,proof,4b1a518af7da7c9eaf9dc2d666ad191eaff7878d372fe0cf7c6c42a201f35952,16,16
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\horn_chain_8.cadical.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\horn_chain_8.cadical.stdout.txt,stdout,e1bb9c745f92ff01468fe1236ee1346457fbfc9e8ea99a285d15e611f2ce76b8,1,1
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\horn_chain_8.cnf,dimacs,3601cd91d51f57fe4f31a096e0c5f3898978c40a387098bd754c91730e190155,0,0
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\php_3_2.cadical.drat,proof,c14980ead7356a965f5a17043b3d21889d91ab521869efb338fb5d68748e796b,7,7
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\php_3_2.cadical.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\php_3_2.cadical.stdout.txt,stdout,36087c4fec2f769719894031d8e2dae651284d487c3f17b43f7935128a173953,1,1
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\php_3_2.cnf,dimacs,91bf2390d8e9a627026bf2f25936b1c8fa7db6dd52823c4a2bfd909d1d2cf9a2,0,0
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\xor_unsat.cadical.drat,proof,9e1a6be856f6c460a7bcc1a447500d38c2ef790c3fca23c78044bbc07bbeb309,31,31
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\xor_unsat.cadical.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\xor_unsat.cadical.stdout.txt,stdout,4c9816880e114b23b361a905da471647689526eca0cac8092fded5ad42734583,1,1
gnatural_ontological_computation_v16\external_solver_evidence_bundle_strong_cadical\xor_unsat.cnf,dimacs,1c696ba485b72373822e6e54446d04286eefe53b2efa684e598c88ee68fa1e6e,0,0
