handoff_id,role_code,proof_id,status,certified_flag,ready_for_frontier_flag,broad_integration_required_flag,certificate_sha256
0,0,long_k23roll,SECTOR33_K23_SEMANTIC_GAME_PROTOCOL_ROLLUP_CERTIFIED,1,1,1,712432be0771cc5247ce426af1b69fb91def376f7f23b68333c111d51a3c224c
1,1,long_k23rep,SECTOR33_K23_REPEATED_ROUND_ACCOUNTING_CERTIFIED,1,1,1,40af7075b5d69d467fb912a0b983cdac0b4ff0198fe2b1c05d78f4a2bdaa983e
