frontier_id,guardrail_code,proof_id,status,certified_flag,preserved_current_frontier_flag,broad_refresh_required_flag,certificate_sha256
0,0,long_frontier,LONG_FRONTIER_CERTIFIED,1,1,1,815b9bcb07d2c9b922ee0d18775d232d2587604948d1a588957915bea2ede429
1,1,long_cluster,LONG_CLUSTER_CERTIFIED,1,1,1,560d08a772a73924d2b7eeafc44c8b58d3a89c409cdfc01926c505772896bc00
