path,kind,sha256,events,route_length
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\contradiction_4.cadical.lrat,proof,05bf7f36d97a77fa1875937a0f47dacce79269cd0a71bff12f53cf1fc4df4c3b,1,1
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\contradiction_4.cadical.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\contradiction_4.cadical.stdout.txt,stdout,695f8d9dd9cfc444bbc918065ba66039192bd64ef9ae432bff80ccce07ec4d9e,1,1
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\contradiction_4.cnf,dimacs,7faffbcb0ea91aefcf41eefea00b42410b78b2e868c7e1d67edd09277b3f2806,0,0
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\external_evidence_manifest.json,other,fd9eeef84e5d42ce5bdbb58799705c2a1132119038917afe17f3242ed88bfdef,0,0
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\horn_chain_12.cadical.lrat,proof,8423839e955ceebb3f77df0d297bb2805525dfd2bab995b1c7f9e4e99bc96e39,23,23
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\horn_chain_12.cadical.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\horn_chain_12.cadical.stdout.txt,stdout,9e471bbe159a18dc42736ad97c52761efead57385a491776b8e25381f7721005,1,1
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\horn_chain_12.cnf,dimacs,539ee15e758ab0c82af36cc4649523a4b4598ddada0b807d6e869faaf2f83a8e,0,0
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\horn_chain_8.cadical.lrat,proof,74ed37927193cf1055205299ca991a0c57089523c390de47c4f90b62c59de4af,15,15
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\horn_chain_8.cadical.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\horn_chain_8.cadical.stdout.txt,stdout,027c7969b824b72d92147a453bc3c3a4a276be17c04e06c2944eadc3913157a1,1,1
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\horn_chain_8.cnf,dimacs,3601cd91d51f57fe4f31a096e0c5f3898978c40a387098bd754c91730e190155,0,0
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\php_3_2.cadical.lrat,proof,9b6911b2bd69b301d571abbb65221b71fb0851ee2933494fa098292346c864bf,7,7
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\php_3_2.cadical.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\php_3_2.cadical.stdout.txt,stdout,e60d5841ca7f7e042055a6cf619aae03033ba2b7f5511d0ddedd3ce00b179b3f,1,1
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\php_3_2.cnf,dimacs,91bf2390d8e9a627026bf2f25936b1c8fa7db6dd52823c4a2bfd909d1d2cf9a2,0,0
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\xor_unsat.cadical.lrat,proof,72f6761298647797bd90ea5bf5a88fdc1fb6d93d1e04f52b445748716584e770,16,16
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\xor_unsat.cadical.stderr.txt,stdout,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\xor_unsat.cadical.stdout.txt,stdout,4751561b4b0c283c3b2f6776a2745af9ada826cab1014228d3ac0640f0018c35,1,1
gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\xor_unsat.cnf,dimacs,1c696ba485b72373822e6e54446d04286eefe53b2efa684e598c88ee68fa1e6e,0,0
