horizon_id,sample_count,sum_state_count,component_path_count,fiber_path_count_total,component_path_count_digits,component_path_count_mod_1000000007,component_path_count_mod_1000000009,existing_tensor_object_flag,object_gap_flag,component_support_full_flag,explicit_component_tensor_flag,materialized_path_object_flag,profunctor_sum_object_flag,formal_sum_object_flag,fiber_total_equal_flag
0,1,3,3,3,1,3,3,1,0,1,1,0,1,0,1
1,2,5,9,9,1,9,9,1,0,1,1,0,1,0,1
2,3,7,27,27,2,27,27,1,0,1,1,0,1,0,1
3,4,9,81,81,2,81,81,1,0,1,1,0,1,0,1
4,5,11,243,243,3,243,243,1,0,1,1,0,1,0,1
5,6,13,729,729,3,729,729,1,0,1,1,0,1,0,1
6,7,15,2187,2187,4,2187,2187,1,0,1,1,0,1,0,1
7,8,17,6561,6561,4,6561,6561,1,0,1,1,0,1,0,1
8,9,19,19683,19683,5,19683,19683,0,1,1,1,0,0,1,1
9,10,21,59049,59049,5,59049,59049,0,1,1,1,0,0,1,1
10,11,23,177147,177147,6,177147,177147,0,1,1,1,0,0,1,1
11,12,25,531441,531441,6,531441,531441,0,1,1,1,0,0,1,1
12,13,27,1594323,1594323,7,1594323,1594323,0,1,1,1,0,0,1,1
13,14,29,4782969,4782969,7,4782969,4782969,0,1,1,1,0,0,1,1
14,15,31,14348907,14348907,8,14348907,14348907,0,1,1,1,0,0,1,1
15,16,33,43046721,43046721,8,43046721,43046721,0,1,1,1,0,0,1,1
