fiber_row_id,sample_count,sum_value,component_count,fiber_path_count,fiber_path_count_digits,fiber_path_count_mod_1000000007,fiber_path_count_mod_1000000009,long_obj_tensor_lookup_object_flag,long_obj_object_gap_flag,existing_prof_flag,formal_added_flag,full_support_flag,tensor_fiber_positive_flag,fiber_sum_state_flag
0,1,0,3,1,1,1,1,1,0,1,0,1,1,1
1,1,1,3,1,1,1,1,1,0,1,0,1,1,1
2,1,2,3,1,1,1,1,1,0,1,0,1,1,1
3,2,0,3,1,1,1,1,1,0,1,0,1,1,1
4,2,1,3,2,1,2,2,1,0,1,0,1,1,1
5,2,2,3,3,1,3,3,1,0,1,0,1,1,1
6,2,3,3,2,1,2,2,1,0,1,0,1,1,1
7,2,4,3,1,1,1,1,1,0,1,0,1,1,1
8,3,0,3,1,1,1,1,1,0,1,0,1,1,1
9,3,1,3,3,1,3,3,1,0,1,0,1,1,1
10,3,2,3,6,1,6,6,1,0,1,0,1,1,1
11,3,3,3,7,1,7,7,1,0,1,0,1,1,1
12,3,4,3,6,1,6,6,1,0,1,0,1,1,1
13,3,5,3,3,1,3,3,1,0,1,0,1,1,1
14,3,6,3,1,1,1,1,1,0,1,0,1,1,1
15,4,0,3,1,1,1,1,1,0,1,0,1,1,1
16,4,1,3,4,1,4,4,1,0,1,0,1,1,1
17,4,2,3,10,2,10,10,1,0,1,0,1,1,1
18,4,3,3,16,2,16,16,1,0,1,0,1,1,1
19,4,4,3,19,2,19,19,1,0,1,0,1,1,1
20,4,5,3,16,2,16,16,1,0,1,0,1,1,1
21,4,6,3,10,2,10,10,1,0,1,0,1,1,1
22,4,7,3,4,1,4,4,1,0,1,0,1,1,1
23,4,8,3,1,1,1,1,1,0,1,0,1,1,1
24,5,0,3,1,1,1,1,1,0,1,0,1,1,1
25,5,1,3,5,1,5,5,1,0,1,0,1,1,1
26,5,2,3,15,2,15,15,1,0,1,0,1,1,1
27,5,3,3,30,2,30,30,1,0,1,0,1,1,1
28,5,4,3,45,2,45,45,1,0,1,0,1,1,1
29,5,5,3,51,2,51,51,1,0,1,0,1,1,1
30,5,6,3,45,2,45,45,1,0,1,0,1,1,1
31,5,7,3,30,2,30,30,1,0,1,0,1,1,1
32,5,8,3,15,2,15,15,1,0,1,0,1,1,1
33,5,9,3,5,1,5,5,1,0,1,0,1,1,1
34,5,10,3,1,1,1,1,1,0,1,0,1,1,1
35,6,0,3,1,1,1,1,1,0,1,0,1,1,1
36,6,1,3,6,1,6,6,1,0,1,0,1,1,1
37,6,2,3,21,2,21,21,1,0,1,0,1,1,1
38,6,3,3,50,2,50,50,1,0,1,0,1,1,1
39,6,4,3,90,2,90,90,1,0,1,0,1,1,1
40,6,5,3,126,3,126,126,1,0,1,0,1,1,1
41,6,6,3,141,3,141,141,1,0,1,0,1,1,1
42,6,7,3,126,3,126,126,1,0,1,0,1,1,1
43,6,8,3,90,2,90,90,1,0,1,0,1,1,1
44,6,9,3,50,2,50,50,1,0,1,0,1,1,1
45,6,10,3,21,2,21,21,1,0,1,0,1,1,1
46,6,11,3,6,1,6,6,1,0,1,0,1,1,1
47,6,12,3,1,1,1,1,1,0,1,0,1,1,1
48,7,0,3,1,1,1,1,1,0,1,0,1,1,1
49,7,1,3,7,1,7,7,1,0,1,0,1,1,1
50,7,2,3,28,2,28,28,1,0,1,0,1,1,1
51,7,3,3,77,2,77,77,1,0,1,0,1,1,1
52,7,4,3,161,3,161,161,1,0,1,0,1,1,1
53,7,5,3,266,3,266,266,1,0,1,0,1,1,1
54,7,6,3,357,3,357,357,1,0,1,0,1,1,1
55,7,7,3,393,3,393,393,1,0,1,0,1,1,1
56,7,8,3,357,3,357,357,1,0,1,0,1,1,1
57,7,9,3,266,3,266,266,1,0,1,0,1,1,1
58,7,10,3,161,3,161,161,1,0,1,0,1,1,1
59,7,11,3,77,2,77,77,1,0,1,0,1,1,1
60,7,12,3,28,2,28,28,1,0,1,0,1,1,1
61,7,13,3,7,1,7,7,1,0,1,0,1,1,1
62,7,14,3,1,1,1,1,1,0,1,0,1,1,1
63,8,0,3,1,1,1,1,1,0,1,0,1,1,1
64,8,1,3,8,1,8,8,1,0,1,0,1,1,1
65,8,2,3,36,2,36,36,1,0,1,0,1,1,1
66,8,3,3,112,3,112,112,1,0,1,0,1,1,1
67,8,4,3,266,3,266,266,1,0,1,0,1,1,1
68,8,5,3,504,3,504,504,1,0,1,0,1,1,1
69,8,6,3,784,3,784,784,1,0,1,0,1,1,1
70,8,7,3,1016,4,1016,1016,1,0,1,0,1,1,1
71,8,8,3,1107,4,1107,1107,1,0,1,0,1,1,1
72,8,9,3,1016,4,1016,1016,1,0,1,0,1,1,1
73,8,10,3,784,3,784,784,1,0,1,0,1,1,1
74,8,11,3,504,3,504,504,1,0,1,0,1,1,1
75,8,12,3,266,3,266,266,1,0,1,0,1,1,1
76,8,13,3,112,3,112,112,1,0,1,0,1,1,1
77,8,14,3,36,2,36,36,1,0,1,0,1,1,1
78,8,15,3,8,1,8,8,1,0,1,0,1,1,1
79,8,16,3,1,1,1,1,1,0,1,0,1,1,1
80,9,0,3,1,1,1,1,0,1,0,1,1,1,1
81,9,1,3,9,1,9,9,0,1,0,1,1,1,1
82,9,2,3,45,2,45,45,0,1,0,1,1,1,1
83,9,3,3,156,3,156,156,0,1,0,1,1,1,1
84,9,4,3,414,3,414,414,0,1,0,1,1,1,1
85,9,5,3,882,3,882,882,0,1,0,1,1,1,1
86,9,6,3,1554,4,1554,1554,0,1,0,1,1,1,1
87,9,7,3,2304,4,2304,2304,0,1,0,1,1,1,1
88,9,8,3,2907,4,2907,2907,0,1,0,1,1,1,1
89,9,9,3,3139,4,3139,3139,0,1,0,1,1,1,1
90,9,10,3,2907,4,2907,2907,0,1,0,1,1,1,1
91,9,11,3,2304,4,2304,2304,0,1,0,1,1,1,1
92,9,12,3,1554,4,1554,1554,0,1,0,1,1,1,1
93,9,13,3,882,3,882,882,0,1,0,1,1,1,1
94,9,14,3,414,3,414,414,0,1,0,1,1,1,1
95,9,15,3,156,3,156,156,0,1,0,1,1,1,1
96,9,16,3,45,2,45,45,0,1,0,1,1,1,1
97,9,17,3,9,1,9,9,0,1,0,1,1,1,1
98,9,18,3,1,1,1,1,0,1,0,1,1,1,1
99,10,0,3,1,1,1,1,0,1,0,1,1,1,1
100,10,1,3,10,2,10,10,0,1,0,1,1,1,1
101,10,2,3,55,2,55,55,0,1,0,1,1,1,1
102,10,3,3,210,3,210,210,0,1,0,1,1,1,1
103,10,4,3,615,3,615,615,0,1,0,1,1,1,1
104,10,5,3,1452,4,1452,1452,0,1,0,1,1,1,1
105,10,6,3,2850,4,2850,2850,0,1,0,1,1,1,1
106,10,7,3,4740,4,4740,4740,0,1,0,1,1,1,1
107,10,8,3,6765,4,6765,6765,0,1,0,1,1,1,1
108,10,9,3,8350,4,8350,8350,0,1,0,1,1,1,1
109,10,10,3,8953,4,8953,8953,0,1,0,1,1,1,1
110,10,11,3,8350,4,8350,8350,0,1,0,1,1,1,1
111,10,12,3,6765,4,6765,6765,0,1,0,1,1,1,1
112,10,13,3,4740,4,4740,4740,0,1,0,1,1,1,1
113,10,14,3,2850,4,2850,2850,0,1,0,1,1,1,1
114,10,15,3,1452,4,1452,1452,0,1,0,1,1,1,1
115,10,16,3,615,3,615,615,0,1,0,1,1,1,1
116,10,17,3,210,3,210,210,0,1,0,1,1,1,1
117,10,18,3,55,2,55,55,0,1,0,1,1,1,1
118,10,19,3,10,2,10,10,0,1,0,1,1,1,1
119,10,20,3,1,1,1,1,0,1,0,1,1,1,1
120,11,0,3,1,1,1,1,0,1,0,1,1,1,1
121,11,1,3,11,2,11,11,0,1,0,1,1,1,1
122,11,2,3,66,2,66,66,0,1,0,1,1,1,1
123,11,3,3,275,3,275,275,0,1,0,1,1,1,1
124,11,4,3,880,3,880,880,0,1,0,1,1,1,1
125,11,5,3,2277,4,2277,2277,0,1,0,1,1,1,1
126,11,6,3,4917,4,4917,4917,0,1,0,1,1,1,1
127,11,7,3,9042,4,9042,9042,0,1,0,1,1,1,1
128,11,8,3,14355,5,14355,14355,0,1,0,1,1,1,1
129,11,9,3,19855,5,19855,19855,0,1,0,1,1,1,1
130,11,10,3,24068,5,24068,24068,0,1,0,1,1,1,1
131,11,11,3,25653,5,25653,25653,0,1,0,1,1,1,1
132,11,12,3,24068,5,24068,24068,0,1,0,1,1,1,1
133,11,13,3,19855,5,19855,19855,0,1,0,1,1,1,1
134,11,14,3,14355,5,14355,14355,0,1,0,1,1,1,1
135,11,15,3,9042,4,9042,9042,0,1,0,1,1,1,1
136,11,16,3,4917,4,4917,4917,0,1,0,1,1,1,1
137,11,17,3,2277,4,2277,2277,0,1,0,1,1,1,1
138,11,18,3,880,3,880,880,0,1,0,1,1,1,1
139,11,19,3,275,3,275,275,0,1,0,1,1,1,1
140,11,20,3,66,2,66,66,0,1,0,1,1,1,1
141,11,21,3,11,2,11,11,0,1,0,1,1,1,1
142,11,22,3,1,1,1,1,0,1,0,1,1,1,1
143,12,0,3,1,1,1,1,0,1,0,1,1,1,1
144,12,1,3,12,2,12,12,0,1,0,1,1,1,1
145,12,2,3,78,2,78,78,0,1,0,1,1,1,1
146,12,3,3,352,3,352,352,0,1,0,1,1,1,1
147,12,4,3,1221,4,1221,1221,0,1,0,1,1,1,1
148,12,5,3,3432,4,3432,3432,0,1,0,1,1,1,1
149,12,6,3,8074,4,8074,8074,0,1,0,1,1,1,1
150,12,7,3,16236,5,16236,16236,0,1,0,1,1,1,1
151,12,8,3,28314,5,28314,28314,0,1,0,1,1,1,1
152,12,9,3,43252,5,43252,43252,0,1,0,1,1,1,1
153,12,10,3,58278,5,58278,58278,0,1,0,1,1,1,1
154,12,11,3,69576,5,69576,69576,0,1,0,1,1,1,1
155,12,12,3,73789,5,73789,73789,0,1,0,1,1,1,1
156,12,13,3,69576,5,69576,69576,0,1,0,1,1,1,1
157,12,14,3,58278,5,58278,58278,0,1,0,1,1,1,1
158,12,15,3,43252,5,43252,43252,0,1,0,1,1,1,1
159,12,16,3,28314,5,28314,28314,0,1,0,1,1,1,1
160,12,17,3,16236,5,16236,16236,0,1,0,1,1,1,1
161,12,18,3,8074,4,8074,8074,0,1,0,1,1,1,1
162,12,19,3,3432,4,3432,3432,0,1,0,1,1,1,1
163,12,20,3,1221,4,1221,1221,0,1,0,1,1,1,1
164,12,21,3,352,3,352,352,0,1,0,1,1,1,1
165,12,22,3,78,2,78,78,0,1,0,1,1,1,1
166,12,23,3,12,2,12,12,0,1,0,1,1,1,1
167,12,24,3,1,1,1,1,0,1,0,1,1,1,1
168,13,0,3,1,1,1,1,0,1,0,1,1,1,1
169,13,1,3,13,2,13,13,0,1,0,1,1,1,1
170,13,2,3,91,2,91,91,0,1,0,1,1,1,1
171,13,3,3,442,3,442,442,0,1,0,1,1,1,1
172,13,4,3,1651,4,1651,1651,0,1,0,1,1,1,1
173,13,5,3,5005,4,5005,5005,0,1,0,1,1,1,1
174,13,6,3,12727,5,12727,12727,0,1,0,1,1,1,1
