observable_id,observable_code,value,scale_code
0,0,144,0
1,1,2048,0
2,2,9747264,0
3,3,73407855,0
4,4,284672,0
5,5,283830,0
6,6,842,0
7,7,818,0
8,8,3,0
9,9,11213312,0
10,10,10515968,0
11,11,2601984,0
12,12,2447744,0
13,13,4213120,0
14,14,1815040,0
15,15,7541600,0
16,16,7982592,0
17,17,6796608,0
18,18,4589696,0
19,19,1667584,0
20,20,1,0
21,21,1,0
22,22,1,0
23,23,1,0
24,24,1,0
25,25,1,0
26,26,1,0
27,27,1,0
28,28,89,0
29,29,523,0
30,30,998,0
31,31,790,0
32,32,1,0
33,33,66,0
34,34,5,0
35,35,7,0
36,36,2874,0
37,37,3630,0
38,38,0,0
39,39,26360,0
40,40,1,0
41,41,14,0
42,42,32,0
43,43,47,0
44,44,57,0
45,45,79,0
46,46,2,0
47,47,1902,0
48,48,1903,0
49,49,12,0
50,50,12,0
51,51,12,0
52,52,12,0
53,53,22,0
54,54,22,0
55,55,3416832,0
56,56,39461,0
57,57,3416832,0
58,58,39461,0
59,59,10529536,0
60,60,24398,0
61,61,4589696,0
62,62,161406,0
63,63,4,0
64,64,7735158,0
65,65,1,0
66,66,1,0
67,67,1,0
68,68,1,0
