cut_id,left_addr,right_addr,closed_section_count,open_section_count,crossing_section_count,closed_coeff_sum,open_coeff_sum,crossing_coeff_sum,closed_coeff_square_sum,open_coeff_square_sum,crossing_coeff_square_sum,count_gluing_total,coeff_gluing_total,coeff_square_gluing_total,count_gluing_flag,coeff_gluing_flag,coeff_square_gluing_flag
0,0,1,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
1,1,2,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
2,2,3,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
3,3,4,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
4,4,5,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
5,5,6,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
6,6,7,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
7,7,8,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
8,8,9,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
9,9,10,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
10,10,11,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
11,11,12,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
12,12,13,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
13,13,14,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
14,14,15,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
15,15,16,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
16,16,17,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
17,17,18,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
18,18,19,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
19,19,20,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
20,20,21,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
21,21,22,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
22,22,23,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
23,23,24,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
24,24,25,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
25,25,26,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
26,26,27,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
27,27,28,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
28,28,29,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
29,29,30,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
30,30,31,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
31,31,32,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
32,32,33,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
33,33,34,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
34,34,35,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
35,35,36,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
36,36,37,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
37,37,38,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
38,38,39,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
39,39,40,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
40,40,41,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
41,41,42,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
42,42,43,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
43,43,44,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
44,44,45,0,1632,1496,0,3264,11968,0,6528,95744,3128,15232,102272,1,1,1
45,45,46,0,816,2312,0,1632,13600,0,3264,99008,3128,15232,102272,1,1,1
46,46,47,0,816,2312,0,1632,13600,0,3264,99008,3128,15232,102272,1,1,1
47,47,48,0,816,2312,0,1632,13600,0,3264,99008,3128,15232,102272,1,1,1
48,48,49,0,816,2312,0,1632,13600,0,3264,99008,3128,15232,102272,1,1,1
49,49,50,0,816,2312,0,1632,13600,0,3264,99008,3128,15232,102272,1,1,1
50,50,51,0,816,2312,0,1632,13600,0,3264,99008,3128,15232,102272,1,1,1
51,51,52,0,816,2312,0,1632,13600,0,3264,99008,3128,15232,102272,1,1,1
52,52,53,0,816,2312,0,1632,13600,0,3264,99008,3128,15232,102272,1,1,1
53,53,54,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
54,54,55,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
55,55,56,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
56,56,57,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
57,57,58,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
58,58,59,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
59,59,60,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
60,60,61,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
61,61,62,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
62,62,63,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
63,63,64,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
64,64,65,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
65,65,66,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
66,66,67,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
67,67,68,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
68,68,69,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
69,69,70,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
70,70,71,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
71,71,72,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
72,72,73,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
73,73,74,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
74,74,75,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
75,75,76,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
76,76,77,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
77,77,78,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
78,78,79,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
79,79,80,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
80,80,81,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
81,81,82,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
82,82,83,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
83,83,84,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
84,84,85,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
85,85,86,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
86,86,87,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
87,87,88,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
88,88,89,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
89,89,90,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
90,90,91,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
91,91,92,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
92,92,93,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
93,93,94,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
94,94,95,1496,816,816,11968,1632,1632,95744,3264,3264,3128,15232,102272,1,1,1
