support_name,basis_rows,check_mode,raw_products_checked,raw_product_failures
unit_top_all_39,985,SAMPLED,64,0
zero,0,EXHAUSTIVE,0,0
Pi33,4,EXHAUSTIVE,16,0
pure_Sminus_doublet_25_26,2,EXHAUSTIVE,4,0
mixed_S_channel_6_26,5,EXHAUSTIVE,25,0
Pi33_plus_pure_Sminus_doublet,6,EXHAUSTIVE,36,0
Pi33_plus_mixed_S_channel,9,EXHAUSTIVE,81,0
