lift_id,face_id,label_mask,kind_code,face_size,hit_vertex_a,hit_vertex_b,anchor_vertex_a,anchor_vertex_b,cycle_v0,cycle_v1,cycle_v2,cycle_v3,orig_v0,orig_v1,orig_v2,orig_v3,support_row_count,positive_support_count,min_slack_x1e12
0,12,30,2,4,47,46,13,14,13,14,47,46,13,14,55,52,44,44,363262450397
1,22,45,2,4,46,40,28,29,28,29,46,40,28,29,52,41,44,44,363262450397
2,26,51,2,4,40,47,44,45,40,44,45,47,41,48,49,55,44,44,363262450397
