stress_edge_id,source_atom,target_atom,counterflow_scaled,dual_drop,dual_slack,dual_feasible_flag,tight_dual_flag,complementary_slackness_flag
0,0,11,2454968259,1,0,1,1,1
1,0,19,0,1,0,1,1,1
2,0,10,4894010564,1,0,1,1,1
3,0,5,0,0,1,1,0,1
4,0,12,4234164820,1,0,1,1,1
5,1,18,11794001857,1,0,1,1,1
6,1,4,0,0,1,1,0,1
7,1,13,676506229,1,0,1,1,1
8,1,16,0,0,1,1,0,1
9,1,6,0,0,1,1,0,1
10,2,5,0,0,1,1,0,1
11,2,17,0,1,0,1,1,1
12,2,4,0,0,1,1,0,1
13,2,1,0,0,1,1,0,1
14,2,12,4168743247,1,0,1,1,1
15,3,16,0,0,1,1,0,1
16,3,6,0,0,1,1,0,1
17,3,13,0,1,0,1,1,1
18,3,18,218722080,1,0,1,1,1
19,3,1,0,0,1,1,0,1
20,4,15,3267864727,1,0,1,1,1
21,4,1,0,0,1,1,0,1
22,4,16,0,0,1,1,0,1
23,4,13,100028407,1,0,1,1,1
24,4,2,0,0,1,1,0,1
25,5,2,0,0,1,1,0,1
26,5,12,625549877,1,0,1,1,1
27,5,4,0,0,1,1,0,1
28,5,14,894432749,1,0,1,1,1
29,5,1,0,0,1,1,0,1
30,6,13,0,1,0,1,1,1
31,6,3,0,0,1,1,0,1
32,6,16,0,0,1,1,0,1
33,6,18,1211050,1,0,1,1,1
34,6,1,0,0,1,1,0,1
35,7,12,0,1,0,1,1,1
36,7,15,0,1,0,1,1,1
37,7,9,0,0,1,1,0,1
38,7,14,8151413237,1,0,1,1,1
39,7,17,0,1,0,1,1,1
40,8,19,1872992994,1,0,1,1,1
41,8,9,0,0,1,1,0,1
42,8,7,0,0,1,1,0,1
43,8,14,2205854598,1,0,1,1,1
44,8,17,1225370314,1,0,1,1,1
45,9,8,0,0,1,1,0,1
46,9,7,0,0,1,1,0,1
47,9,19,5841757113,1,0,1,1,1
48,9,15,910710462,1,0,1,1,1
49,9,14,0,1,0,1,1,1
50,10,12,0,0,1,1,0,1
51,10,5,0,-1,2,1,0,1
52,10,11,0,0,1,1,0,1
53,10,4,0,-1,2,1,0,1
54,10,9,0,-1,2,1,0,1
55,11,0,0,-1,2,1,0,1
56,11,10,0,0,1,1,0,1
57,11,8,0,-1,2,1,0,1
58,11,5,0,-1,2,1,0,1
59,11,12,0,0,1,1,0,1
60,12,7,0,-1,2,1,0,1
61,12,5,0,-1,2,1,0,1
62,12,10,0,0,1,1,0,1
63,12,4,0,-1,2,1,0,1
64,12,1,0,-1,2,1,0,1
65,13,6,0,-1,2,1,0,1
66,13,16,0,-1,2,1,0,1
67,13,3,0,-1,2,1,0,1
68,13,1,0,-1,2,1,0,1
69,13,18,0,0,1,1,0,1
70,14,17,0,0,1,1,0,1
71,14,5,0,-1,2,1,0,1
72,14,18,0,0,1,1,0,1
73,14,15,0,0,1,1,0,1
74,14,7,0,-1,2,1,0,1
75,15,4,0,-1,2,1,0,1
76,15,18,0,0,1,1,0,1
77,15,7,0,-1,2,1,0,1
78,15,3,0,-1,2,1,0,1
79,15,14,0,0,1,1,0,1
80,16,3,0,0,1,1,0,1
81,16,13,60889057,1,0,1,1,1
82,16,6,0,0,1,1,0,1
83,16,1,0,0,1,1,0,1
84,16,4,0,0,1,1,0,1
85,17,14,0,0,1,1,0,1
86,17,2,0,-1,2,1,0,1
87,17,18,0,0,1,1,0,1
88,17,15,0,0,1,1,0,1
89,17,7,0,-1,2,1,0,1
90,18,1,0,-1,2,1,0,1
91,18,3,0,-1,2,1,0,1
92,18,15,0,0,1,1,0,1
93,18,13,0,0,1,1,0,1
94,18,6,0,-1,2,1,0,1
95,19,8,0,-1,2,1,0,1
96,19,9,0,-1,2,1,0,1
97,19,7,0,-1,2,1,0,1
98,19,0,0,-1,2,1,0,1
99,19,14,0,0,1,1,0,1
