atom_id,balance_scaled,dual_potential,dual_contribution_scaled
0,11583143643,1,11583143643
1,12470508086,1,12470508086
2,4168743247,1,4168743247
3,218722080,1,218722080
4,3367893134,1,3367893134
5,1519982626,1,1519982626
6,1211050,1,1211050
7,8151413237,1,8151413237
8,5304217906,1,5304217906
9,6752467575,1,6752467575
10,-4894010564,0,0
11,-2454968259,0,0
12,-9028457944,0,0
13,-837423693,0,0
14,-11251700584,0,0
15,-4178575189,0,0
16,60889057,1,60889057
17,-1225370314,0,0
18,-12013934987,0,0
19,-7714750107,0,0
