counterflow_id,stress_edge_id,source_atom,target_atom,counterflow_scaled,unit_cost,cost_scaled,existing_edge_flag,tight_dual_flag
0,0,0,11,2454968259,1,2454968259,1,1
1,2,0,10,4894010564,1,4894010564,1,1
2,4,0,12,4234164820,1,4234164820,1,1
3,5,1,18,11794001857,1,11794001857,1,1
4,7,1,13,676506229,1,676506229,1,1
5,14,2,12,4168743247,1,4168743247,1,1
6,18,3,18,218722080,1,218722080,1,1
7,20,4,15,3267864727,1,3267864727,1,1
8,23,4,13,100028407,1,100028407,1,1
9,26,5,12,625549877,1,625549877,1,1
10,28,5,14,894432749,1,894432749,1,1
11,33,6,18,1211050,1,1211050,1,1
12,38,7,14,8151413237,1,8151413237,1,1
13,40,8,19,1872992994,1,1872992994,1,1
14,43,8,14,2205854598,1,2205854598,1,1
15,44,8,17,1225370314,1,1225370314,1,1
16,47,9,19,5841757113,1,5841757113,1,1
17,48,9,15,910710462,1,910710462,1,1
18,81,16,13,60889057,1,60889057,1,1
