mask,basis_cycle_ids,basis_active_count,lambda_support,lambda_coefficient_sum,lambda_abs_sum,lambda_vector_sha256
0,,0,0,0,0,ad5345954a23d42bbacd56d55a6e79c848369307b95fa96ac5cefcbc3c271de9
1,0,1,297,192736,192736,e1c663f49ca9792b0407c91fd5bf39902cbbe84c8ee9133c73fb1355b15404c4
2,1,1,297,227136,227136,e2978ed42c7f5142e8f691d4300ff08f129790c2abddd9272aec70b03b8d5b5f
3,0 1,2,297,419872,419872,fc0ca8abb27584b42edfb7fcb5637911243f8f5e8702d569fbe75f7562fe4969
4,2,1,253,101952,101952,037df87b01c9b6ccdf95be8f582b30c75afabe0e17fbb91d19852e293d7d4860
5,0 2,2,297,294688,294688,6180b9f1ca834e535074facb5f0a8f464f33aaf0fcaa9bca75081b85692d6b34
6,1 2,2,297,329088,329088,bbfcec714a59cee634192d4475503530fdb36c71ffe596f8aaa8f93a66ad64fb
7,0 1 2,3,297,521824,521824,3e4a6a86742a2c28e92b0ca68ba1953c9cbc40d6af817fe9704500e7e524b1c6
8,3,1,297,251424,251424,f539e84460460a7905c19e041e1e49863dee9b69dcb0c769a014a5463bd1b879
9,0 3,2,297,444160,444160,1eb483488d83096673e51d6e4c54ea6889f51c0ebdb358c598c19a21dd765d1e
10,1 3,2,297,478560,478560,ae1bd1678dd0824e579125c10b60c357652a8a7b9fc44d413965027051ac92a0
11,0 1 3,3,297,671296,671296,12493f305c9386cbf3d91d5d02e403c06b03081d989944e562a83e8643b19105
12,2 3,2,297,353376,353376,b5d385936d59cd16c278bc50c12966ddb4f1e21c2f454ac1b5f889b2b74ba76c
13,0 2 3,3,297,546112,546112,6bf7dee4573bbdc88889d61a48d0fd8852278eeb89ccf286216eb6f66e741f85
14,1 2 3,3,297,580512,580512,19eda02db8e68fac2f9b2cd35adf6ba01b786fcf6d54083c33b74d5c3c2828d7
15,0 1 2 3,4,297,773248,773248,8b966b7aed4def3f1612b43b2338ac43e60052c02c2c0e487d39ebea2642076c
16,4,1,297,180832,180832,81a678f032687333b2f9308f682bedc20b78260f23f16d958c28f76ab95b09bb
17,0 4,2,297,373568,373568,be14ba366551e6df50d67ba31dfa8e04d33d85d1739968b11e7cf19f1ecd781c
18,1 4,2,297,407968,407968,7409b341e8dd737c70d59102e9be4be2428b31d3fdad1b69fc313ca479cb2da1
19,0 1 4,3,297,600704,600704,e7f47800873cbaf0fa7ef054425b8ea81d2e06b48c3f4bc686b93361dcba437b
20,2 4,2,297,282784,282784,53df61c86e720a650e290163b1569f944ccb7f1b3a393b7f51a82ac1275ca3af
21,0 2 4,3,297,475520,475520,fe024bb35e7c092d838074731176fa17d41c689f2ba4d08d075f98e74300d966
22,1 2 4,3,297,509920,509920,b89f278b39871f20545cf611c3b5349929c45420e9d2b2d1952a096fc0fab0ca
23,0 1 2 4,4,297,702656,702656,eef9d6273ebbf56efa2d7cb81447ff92131ddc1adcbc240e232710a0e2804cc4
24,3 4,2,297,432256,432256,ea143daecb595fa8384fff386b54da3f89a24801361303a2a89601d2fa5d7cc8
25,0 3 4,3,297,624992,624992,f0a4effc2f893b2489c1aeb8c71ae1d68f22aa14285a099b8fcc2e0463fbce30
26,1 3 4,3,297,659392,659392,d5362088dc9196b3bec4150f3eb8cbb4bdaaa8f80c51a2259f7deacdf6ef653a
27,0 1 3 4,4,297,852128,852128,044ba54280d469f61d3f13aa389b455361304828f7f20eeedb73d28004ab9dd9
28,2 3 4,3,297,534208,534208,f1b14a352b2f7fa99b70b615ddf3cf17f98eea6dc01be0a13225f99ffc20a2c2
29,0 2 3 4,4,297,726944,726944,fabdc2285c25daa60c924d8063a42c41d78e0b33a2941e2e6068223377bb53b4
30,1 2 3 4,4,297,761344,761344,5a5de8c6bab4cd42f4f7bb70ba20eb12b2b5e6e77a7ba99e8cac075f9a5b959c
31,0 1 2 3 4,5,297,954080,954080,1ee3025eda97eee8f5691c6949711608c26509c4932af53f309fd4f568c7075b
32,5,1,193,52320,52320,3e3f9f1d6bc7cc76c88769a278b56f89ac40de148770ec2deb7ffcc23093ff8f
33,0 5,2,297,245056,245056,e6c480e6dfe6fb621aa9e9fd52c12264af8dccc21e90de3b1cd70f83783bc54f
34,1 5,2,297,279456,279456,72a1b90edd302a3f8daa6088159df33e778fd2e1df947c1ad69ee7dff354aae7
35,0 1 5,3,297,472192,472192,53b6dae92eb9d835bc3c01f1130fd80af4f68bc4c329b357ebc89b08efb27f15
36,2 5,2,297,154272,154272,66b2a98f8118b7adaf08c65d4bee93483a8a7abf118487b7f7fd7bcea9babde7
37,0 2 5,3,297,347008,347008,bd547af0da077d889881ee20103c18eba866687f64ba5bb96fb94c94383f472c
38,1 2 5,3,297,381408,381408,934b84589d2ad3c0e854efeb65de0ce655623e7ca8cf0eacbf9cd347da783a01
39,0 1 2 5,4,297,574144,574144,9bb7eb77df3a11333c47b61f73625f546509df3083501917293c08a3d26f07ae
40,3 5,2,297,303744,303744,172c98501a3963c15bdd00e77c320e0d87a5cb293cea5c8d9b42e2db195a5dae
41,0 3 5,3,297,496480,496480,9da0b643a788f46ac51463fca46afe84e85bd3dcd2ae2d17f68c26d9a49c7236
42,1 3 5,3,297,530880,530880,91e2eec3c6abe75c75d4fdf05fb708f941f795d06f5fe866625e96a1ee0fea1b
43,0 1 3 5,4,297,723616,723616,6fd873fbf7cf1825d21d4d1790ab76952cb7ecf038e64156e2533aca50315262
44,2 3 5,3,297,405696,405696,12fdbc26a7fe71e856541c62b08190dd40d5642ee29bc2e12ab7afd18811912e
45,0 2 3 5,4,297,598432,598432,b65d3e14d1512009d462fcfb0d268083f22c5c73626987a1f0c7d318fa201b30
46,1 2 3 5,4,297,632832,632832,49003df2b41bb35a5ce94acc4529c2904883411dc4a24bf7b081010abb8a3925
47,0 1 2 3 5,5,297,825568,825568,f71c91538b1ed9c3d99f8fc6cd67c7f8df30ebb5232e352b4d0dc07a389ae93d
48,4 5,2,297,233152,233152,7f1ce5018acc8a5f11b7a820107c0e5543141eeb079065e018bedec0c75d9420
49,0 4 5,3,297,425888,425888,b2f4f6c65f5c9a694971543c3c93d4b78ee3d647cfa330ee492a50d24e9b9932
50,1 4 5,3,297,460288,460288,b04f2bd415521c419a934f6b83943b7148d06d826c4b191ca42ca2903d26431d
51,0 1 4 5,4,297,653024,653024,e182a829ca4b7fbfae7032fd61d517da53fabd2ed32ed21ed57fb8daea7a2e62
52,2 4 5,3,297,335104,335104,0b2a60fbe9ba99ce654007be3670a3215c6c567ab5dcda2dadee1c380fdbd3ab
53,0 2 4 5,4,297,527840,527840,04ca67d0d15d31971ec4fb9f427315f68120908da2c0eb0b0fb742638758b1be
54,1 2 4 5,4,297,562240,562240,b1723dfe614322fd73a41a916951d6307c8d66c9d984c350fb178aed74c2cc49
55,0 1 2 4 5,5,297,754976,754976,f4a9222c72faa37511f50d4becfff59c158e18b4d9b71f88a5fd4379d396062c
56,3 4 5,3,297,484576,484576,84819048c7ab07c741d4613664ea6e4241844d4fbad3492534b2bac1d8bbf24f
57,0 3 4 5,4,297,677312,677312,152960c4114280c38fadd335b428d7280ba7c0baef02015c9963e09a791764d7
58,1 3 4 5,4,297,711712,711712,b46219eaa24255b88863542bb288edff7700347ccf7c2c560252a414d847b497
59,0 1 3 4 5,5,297,904448,904448,40236ddc926b189f1f7f429ed7d3f9d1972a22ae04b9f12b94cc64af19c69759
60,2 3 4 5,4,297,586528,586528,380f6215617aee0bbbe30bf8049130562b1c505f18a157f34a1de5d0f34e0e18
61,0 2 3 4 5,5,297,779264,779264,8d3069a05e6af2bec0f1636b8b88cda3e5fd7c559abf606163c6f25598612900
62,1 2 3 4 5,5,297,813664,813664,a6840e13f3bfdc1b23d709d112dfaae260a2fcb49ae323803254840cce2a4fc9
63,0 1 2 3 4 5,6,297,1006400,1006400,70a80940e5c83dee8c4a947a826de42f4e442f9b3359b7a45c8b8dba7b41e10c
64,6,1,253,71040,71040,8b5aaad0106fbb8c3ac01caeab1fa9ba94b8c558eddde5de4395366d17f1956c
65,0 6,2,297,263776,263776,d1f58c2cb2a477df39b8d7cdc9679d09f338fd84b8913ef4e310759c780821f9
66,1 6,2,297,298176,298176,31962f94465492223d7f36917b03831d580e71c97819385c2632fb3e4f5d89a4
67,0 1 6,3,297,490912,490912,026a338362d1d55324f18aaee55e1df8da1bf932da2fe6abf2c2e6cb4079bcb1
68,2 6,2,253,172992,172992,86eb7384cbf28171ec57b3f3bf26a8da6ae077569baac58b8c22be9f296a928f
69,0 2 6,3,297,365728,365728,a976c61d8227cd08299204dc081c01e6d1957aa2d3f2974ec9bfab7c4b19317e
70,1 2 6,3,297,400128,400128,1a185be6a017637dc173f252b5aff19b05df55757f34deeee07514c76d10bb0b
71,0 1 2 6,4,297,592864,592864,0d6d58f7beb45032179a5e40d6ceb994a5a5d99316f6c5740bafe514941a8e8d
72,3 6,2,297,322464,322464,68858580db12a1b94c21bf4f002b18e8f667dda07c861e0897f9e3148b220197
73,0 3 6,3,297,515200,515200,fd435c632374a8fbbc93930f4c3e8d43a9f55bb6732b2aeaebabbfb8bf437ffe
74,1 3 6,3,297,549600,549600,4b277cd8aca15d3f51eef84bd154598742eac5ef2dcbddedc8fea00492958687
75,0 1 3 6,4,297,742336,742336,ec1c5fc2508e5139e1ed3479b0cfeaa5bdd3ac6c3c270e3d79de22d017cfb51f
76,2 3 6,3,297,424416,424416,97f2d6554308a3415c4da3544b13f03fb4d7d18d01cd39aa677a4dcaaadb5321
77,0 2 3 6,4,297,617152,617152,9ef8f0004b259e775a135db2ac701eb4fd8098b7095903481c93d4e45c4fb5db
78,1 2 3 6,4,297,651552,651552,c7ee98c46bb8754be0fa1cecdb2aad94a10344805466ee9b3122c5c2c40d9ef1
79,0 1 2 3 6,5,297,844288,844288,42a223c7ef2d612a7998ec643d844fdd3e96d4d3a2c5a17f12a996c5788404ec
80,4 6,2,297,251872,251872,4070e11f6ea7e9556673cda9dc4d6989c95f882782b4a08c56b8e4feb11ae71e
81,0 4 6,3,297,444608,444608,3497001e4bdd9ceb321a74448461ad0868af0e51f0c4bd9f1af54287e18ac752
82,1 4 6,3,297,479008,479008,86b7564435213a7e8a8c336880cbd57a39b51ff1494e42548603f02a6376acc4
83,0 1 4 6,4,297,671744,671744,fa868e81ec29ff345d8479826a43c9cb65c86a0da14e76434031794ceb8fdfce
84,2 4 6,3,297,353824,353824,f3321da62355cd9717077db24c84115d84a69ae96238fc7dbab613e1bb1d4219
85,0 2 4 6,4,297,546560,546560,327dde59e8a4fb181a7fc45b41a46f1fb7e8faf08470c6f23e2acef5ec89cae0
86,1 2 4 6,4,297,580960,580960,40d8d9c4748bcf2da6de6bcc440d96a6a65f7759d70b7733cff140fa3cef9a04
87,0 1 2 4 6,5,297,773696,773696,85af3f097db41f0b2db4296c7193da84b33125fd5a59c77c00a2c8205f445214
88,3 4 6,3,297,503296,503296,0e2d272fc47fdf3d802d656f91f15ba8b00d6f46d90371a1f73e98ef63d74e0c
89,0 3 4 6,4,297,696032,696032,96a59b8f27d3042ece30af66e30355444f005b6a8533d8cf3acdd56f6a1fd334
90,1 3 4 6,4,297,730432,730432,79b8b207a09c37d5e2ea53fd18aeb1bad2c7cb9cb844bec87cf67837696caa0f
91,0 1 3 4 6,5,297,923168,923168,72e22048c8f5a716e4c0da6902b9722402bd38140e30ad515b39e40913ab7cf6
92,2 3 4 6,4,297,605248,605248,12e23a18be836f60e94f536ec9683784889b732b28af6b26e353c21bfb02a2d1
93,0 2 3 4 6,5,297,797984,797984,ed7cb2b7323d9d558f0d3c03c620ed63573e4472eff9a6c12f5fb46c0dca7f8b
94,1 2 3 4 6,5,297,832384,832384,2f0b0a0252a6e6388a9877174c3d21255eccffdfb468293f4462b5792f57ad97
95,0 1 2 3 4 6,6,297,1025120,1025120,cceeb1508bc2941fdf58c87fe54d3674e1f3c09a8bef1af7f4fb50e5dc50e1b3
96,5 6,2,297,123360,123360,e38787afd4f80974b948dd2a651fbf8c825674b8808c6d5973601e10c538627d
97,0 5 6,3,297,316096,316096,3e453e592a6e228ac05e077bff65d5a7f7c27000fbecfca739ea186be8a58e90
98,1 5 6,3,297,350496,350496,2a8e9088f8d8eb6259444b56065e21cf8ad74254ab49434380ff22c899dadf43
99,0 1 5 6,4,297,543232,543232,37f1d5b17a8f31454f96003fbca5e7d90db452cb4e3357127d33be1d024dce19
100,2 5 6,3,297,225312,225312,5efcd0ec444c5ba10d53cc808c01cf0170ae3200e914c77fbbe9e16e474144d9
101,0 2 5 6,4,297,418048,418048,dd2717ae4563bdd40441cf7de840a9537e0bc7d53addb956eb403889628649a1
102,1 2 5 6,4,297,452448,452448,8d8b4573acbfbb03130e5106c281f0b15ebaa8ae87d2d9336e33c0af25bec4f8
103,0 1 2 5 6,5,297,645184,645184,b8adbb3bce3379618ec3e5c0cef01c04a31609e50eb06542548950b7eedaa264
104,3 5 6,3,297,374784,374784,c3f228e5419f5cbca41785d9b3a280751f6b86593bf203e9e2f6d7dd3234fe25
105,0 3 5 6,4,297,567520,567520,a624f3f990771c1906ee086202022bee304a7d7f9857d8f72745f6de90ccef9b
106,1 3 5 6,4,297,601920,601920,3be427dbeceb3d84c854c9d160afeb9ebdf3344dc8f94aa3bd74066b03dd9425
107,0 1 3 5 6,5,297,794656,794656,23e76bf71b1a6ef5223a018e3e1fe3ccf27fee68e4796839cf0060349234faad
108,2 3 5 6,4,297,476736,476736,fd189a779644cc66463a2c561be0bc2935151845bafadd48750f391aaa174bf1
109,0 2 3 5 6,5,297,669472,669472,b6dda9d05f8c76f6f42ff870381601a9b4fa4a36a5d2eb888937c052c7db43ad
110,1 2 3 5 6,5,297,703872,703872,3fc6d31b8a604f13d1f9e36ecb5ecb652c5134a400e580a5650d6b6042924ae8
111,0 1 2 3 5 6,6,297,896608,896608,c948fe7ae8f7d6424090271c95ebf33e450b2376638178d636144da968257149
112,4 5 6,3,297,304192,304192,45ae11f97607d839cb40207182c2df7e6f44d601d6708d4a650282d52657a3d7
113,0 4 5 6,4,297,496928,496928,9cffcd8596e5aa908e805f636d425a953ee0640715e1f7536d2576157b4bb7fb
114,1 4 5 6,4,297,531328,531328,05c1d626e067abf5d2242bca2e338ba757b3c00e7398f681a02b5902e967ea5f
115,0 1 4 5 6,5,297,724064,724064,5f3ac770218f667494ec15fb0134e9ad2a9261562fe49f7ef5e9664dfea25e36
116,2 4 5 6,4,297,406144,406144,115ee4a2c2e967b05805ef30e7d3628f11c08e7d70924ad2a26c716e319bb437
117,0 2 4 5 6,5,297,598880,598880,678d7691e7a240dd98e7b8f9d8bf69c0994013fada1a4975ccf72f18a8f5bb39
118,1 2 4 5 6,5,297,633280,633280,e9fce11241b6ba3efa719b71f5da868313bd54b700f951c9b945c905f0454ad7
119,0 1 2 4 5 6,6,297,826016,826016,191b6685ed16faa86b0cf18d43ab8e1e95bd7c15c0d7899adf02a092cf4bf096
120,3 4 5 6,4,297,555616,555616,9a2cd59c4abed153dcdabd7352c96fd5e51b0a6dd48bb1f46331943fe2dd592f
121,0 3 4 5 6,5,297,748352,748352,7931cfb7a73c7f9d902a9d38d0705d3df268bdaafb7ffbc71b45a3335480bc49
122,1 3 4 5 6,5,297,782752,782752,65c916fbb2514f1ce918095520b579e9ca45ed4cfe65274445f8276a771aab25
123,0 1 3 4 5 6,6,297,975488,975488,f5e44b58e8b45f51f6117c0fcd2723cac9420344f4d23c7807e2cfbbc9542319
124,2 3 4 5 6,5,297,657568,657568,d3354c67e748332899fe9e32eccddf17fdfb9a1277a2691301f0096d98c1d2fc
125,0 2 3 4 5 6,6,297,850304,850304,27f5e0b15e17eb33664cb7dde3018490c32bfbae3e64dd5be672056f81fa80af
126,1 2 3 4 5 6,6,297,884704,884704,5e1c60bc17b3e72a7778ec3df62711bf07c1ebf0bc3184cb4c03701737be7cc5
127,0 1 2 3 4 5 6,7,297,1077440,1077440,4581bd57b3523854ae0f980e267841c6a795b5623e107575a5a8fcef2fee3ccd
128,7,1,283,143872,143872,f45c306340ee39d9336f66036657454879bc789e612ac9ca6184bebd4aa349e6
129,0 7,2,297,336608,336608,432953a96e5f2964467b62ce7835a9ff4887e8dd4bfd295813289968cc79ac57
130,1 7,2,297,371008,371008,6bbfb99f9a9334126997f0e251c7b3a46e6312217cb1e67e690c77e3a4929dd8
131,0 1 7,3,297,563744,563744,23928af6465424b9c2947db875f4ed8c6aafec6e37d9b14c17700279ddbbbedd
132,2 7,2,297,245824,245824,b9fa420e92d1f4534064cf755d6255448419c4da8a39fcd072d775b455f9b2e0
133,0 2 7,3,297,438560,438560,c7b1c20aac286089a3f9a9c74ae4b2ca58546b61303ad41fe193eacec6801882
134,1 2 7,3,297,472960,472960,1a0b8f80514e3794e7a8d7889032379b9da51954e932a1d1629e9dcb70149a95
135,0 1 2 7,4,297,665696,665696,990ce6d3703dd32b94d6d27855392f908205b69efcc9f22632d37d442fd4bb87
136,3 7,2,297,395296,395296,e6947ce7726da92db297e472ec12d2964f5da2d217a988bc3d3d4106f33a91e9
137,0 3 7,3,297,588032,588032,6209c157ee543e34920f4a42521d166d0f7f6f5711e1fc6b859e6a9dd3c369e8
138,1 3 7,3,297,622432,622432,9c3681022524ee10f2704b95a6ae38c22d5167a2dbd2698b72abbce35993bc05
139,0 1 3 7,4,297,815168,815168,aaac0695d526267af9f269c7a58d9aba347a68cab868154b03cb2671d2d828a9
140,2 3 7,3,297,497248,497248,f7d042be1f2a7f517a87d4234bdcdc15006de3289535f93c9c83a05d2f5a60b0
141,0 2 3 7,4,297,689984,689984,cb167e46fe5b6e368d5f523fedb075dd094eaa1defc1c68183818f53d06d8e37
142,1 2 3 7,4,297,724384,724384,6b0f34c4b8dd477884cb9f26910b2598f9679773a01a101621f7e5919e3163a2
143,0 1 2 3 7,5,297,917120,917120,00e177bbef6eaf3c3e5d6d867b8e9761fe101af88b0d743dfe72390eeb88ebed
144,4 7,2,297,324704,324704,14fde727135b0d98ab5c718da470d533742c968c0134e8c76f4f3bd691f4cdf2
145,0 4 7,3,297,517440,517440,0f2bb62f2d95c76badc134fe41f1b0371913a23c5f5e0acea6d4a83816c03e00
146,1 4 7,3,297,551840,551840,3bf08c7e53168665bb9255c793cd125eaf263916146a523387885678d200571b
147,0 1 4 7,4,297,744576,744576,560fb8e2d7535a38b70060f54ece1832bf37469b3e2833dc6e352f24ce586ea6
148,2 4 7,3,297,426656,426656,ad122418a8ab6da490d7509ee5e57ea3814089f76eb088e81ac3223baa8f06ba
149,0 2 4 7,4,297,619392,619392,6007639eb5cadc89a189f07bca4f6b1df8a6635ee265dffb7a43dc9ac27e195d
150,1 2 4 7,4,297,653792,653792,d12f9f7afa72d1e6b318ca10fa0719e3965e67f9eeba46151a34ec8d5839744e
151,0 1 2 4 7,5,297,846528,846528,78a1a244c79006ccffdc310caa9a6abdbca4ae9ec177771030f3e302a39905c6
152,3 4 7,3,297,576128,576128,456743a07e962dcd308d8c5dac303488f0e21e0f6a3e758d6a60bdb605acfaeb
153,0 3 4 7,4,297,768864,768864,013ad97aa38dc83463b562ca0f52e9e460abdba833e55c32a4a16fce3369aac7
154,1 3 4 7,4,297,803264,803264,b1fc5609a5bfc34d261f4e33a9e875c50d0fd2e6a519d3e3788a220574542c1e
155,0 1 3 4 7,5,297,996000,996000,5cff362df99469de8d0c0c4b4d6cc30feddb86e34c3bf22b7cc1b500df58686f
156,2 3 4 7,4,297,678080,678080,aff4074fa1aae4b1fea0e8350682af1e6cb11d4bb6466cddddb7f8b3898d816d
157,0 2 3 4 7,5,297,870816,870816,a278e9caba0fae79251a9686ca163a48766a61b77761406b0a2ee925b4f4fd50
158,1 2 3 4 7,5,297,905216,905216,73a54d27da641f876ba572296d033248c2ed033a7d7ac905100857164fe9f219
159,0 1 2 3 4 7,6,297,1097952,1097952,694c9f5a9e968c0c75801ba4e5360cbc3b6aa9263c829ce258cb081ab816f829
160,5 7,2,297,196192,196192,17c69a00cac372cac6ef05283799791e646c6781615fa9997c11972c6b37017f
161,0 5 7,3,297,388928,388928,550f42b5ca71613c0da838e992f96ca3671b005bcff241b96e0f42fd27e3da49
162,1 5 7,3,297,423328,423328,465cdfb1d4ddf4ac5e541091df0a3706495af5baf5684f019595af0cb9c3788f
163,0 1 5 7,4,297,616064,616064,ce95313e3948d1c2b0ea75424f3138031031df9fcb44cdbdb32ff183a490bf08
164,2 5 7,3,297,298144,298144,52ff675387176f62aeba0800f9efbfe7c60365f956fe4e3d4709060385056d57
165,0 2 5 7,4,297,490880,490880,1c10c684146a335063c6fcad20e06fe27cf93bbc6cfbe3b96779e89b4fcd1e1a
166,1 2 5 7,4,297,525280,525280,1a5fa62bc17e6f6b059d5cdfdd374375d0024ede6dfbe03dff25263c4f6e0ade
167,0 1 2 5 7,5,297,718016,718016,b4a7122439f60cdc594efbd8359fce1b9b69a05d36abaa033b1d76e86f14bf38
168,3 5 7,3,297,447616,447616,27072092ab67372734902efa71dfcaf789f729216addc4563365073be8d6a7e4
169,0 3 5 7,4,297,640352,640352,647bfbc4602dae8e94be702c39d747de739403943b08b041e792ca664bc436bc
170,1 3 5 7,4,297,674752,674752,7ef0af2fb5ee1467aac547e8be9594f5ce573c0a44c70270a25681b47d478a1d
171,0 1 3 5 7,5,297,867488,867488,7d6704af2215d3732799702e81d2271012439bc4e3861cf8db572db08c9516fc
172,2 3 5 7,4,297,549568,549568,304e92bb1637401813248a0ae111cec6f403b61d5ffd28b6588a1dba49ce4e2f
173,0 2 3 5 7,5,297,742304,742304,12199b7f8fa57b9e324fa739c376646961d0e07321e56bfee26b7768995a8f9c
174,1 2 3 5 7,5,297,776704,776704,8b2ac9a9b1855e4b19a84e5249a2694ae355982bf560c64f1ba09f466fe18967
175,0 1 2 3 5 7,6,297,969440,969440,8af5e326f23f05774f7e1c89b7cf38e7b791cd6e1acb6b4d62aeff4c5c2c06e3
176,4 5 7,3,297,377024,377024,c2fcc908f6a038ba7691b32902eb7adfd4372a462998e73a37dd9165eb87dffd
177,0 4 5 7,4,297,569760,569760,2c73c1429373080a35f08984f9917479fae77affffb385bf1aa9bf47e536f554
178,1 4 5 7,4,297,604160,604160,a8e65af6902afbf43f075e5fdf2f8428a977906814803c0924c15c2796c912c5
179,0 1 4 5 7,5,297,796896,796896,c7c84952719ae2d824711560c15cf8aad048a6aa0e6b7798a07564a34a8746b0
180,2 4 5 7,4,297,478976,478976,63b6067050f614d477c899271a514cbf608351a4cecb3f7f27178c8bc775b1a2
181,0 2 4 5 7,5,297,671712,671712,a57570ae5e29360b1f068f1734f3954f97d6362cfe6759a05e359701a7fbd9f7
182,1 2 4 5 7,5,297,706112,706112,49925ea3521ebb258f2165260ecf20deefc0e1d28cdc2a2e2fb38cf3d33c2f42
183,0 1 2 4 5 7,6,297,898848,898848,487a1b2c26a407c25e5b5b272adf4ded1c7ada36411371ff5a5588c3b0dc5fda
184,3 4 5 7,4,297,628448,628448,da63002358f0d562cdb479f92a6e02bcf94a68d630f63bd8bdff8565adf17193
185,0 3 4 5 7,5,297,821184,821184,dbdbe037ab4a12f8dc6b732b78db07d5189cdf47e746bf8bdcbc122999a4c25c
186,1 3 4 5 7,5,297,855584,855584,4616a26933dba19d2b753824848084b79265e40c571a5bbccf19845051ddc999
187,0 1 3 4 5 7,6,297,1048320,1048320,a9d40ba788df75f203fac2c5c170ca7b4c354d3c8d985c80cac23bc007ea12cb
188,2 3 4 5 7,5,297,730400,730400,5991b8b676616002d9608d6d7436c852c06d1660e2631457273fa801379b5de9
189,0 2 3 4 5 7,6,297,923136,923136,175ebe31cad624437b3a2ae3bd09146950da107b28b301039ae4463b79c10307
190,1 2 3 4 5 7,6,297,957536,957536,60af00c665abaa7e2f2ed847fdfa94b215e7d9e93a0fb129ed42cc79d2108aaf
191,0 1 2 3 4 5 7,7,297,1150272,1150272,2628ea811729a082ddbd487844c7a276405f1963b3bea6f311bbddc2649c9df1
192,6 7,2,297,214912,214912,88d4dd2eff45d33882975e15214361f9e09d859c4fb23d81484336369aaea50e
193,0 6 7,3,297,407648,407648,aecea87a66cbefec40a02ba1cef7d39ac5d34b525481bb42d4214125c767cb64
194,1 6 7,3,297,442048,442048,433a482b1e948e66a17d4812feadeb3f7636a785b0aa5f1ff28322f9c1bbc4f9
195,0 1 6 7,4,297,634784,634784,0a9bb81799ec19658f91175431fb73693aea579eca8d1268661a6b21cc78cdcc
196,2 6 7,3,297,316864,316864,e64572d72aa73379db13f338b16c3391b5bbf35dafcd52ea0b0ed2219112bbfa
197,0 2 6 7,4,297,509600,509600,1a6034abd466fbe16d661c210f572b1ac95d6d66143daaf845b41e5071848c4b
198,1 2 6 7,4,297,544000,544000,b1f4b571b5a2351b48724f60d8685b503599eb3c84ce872b79fb41b77c6168f4
199,0 1 2 6 7,5,297,736736,736736,61570dd3544e7b65e9538318d44db5afc03bbac9b22bc55edd0d814ba5ffcc79
200,3 6 7,3,297,466336,466336,52ab9022125f7084de2773aca631b85a6bd207438474b4462ab07249c26eebdd
201,0 3 6 7,4,297,659072,659072,e947ba1081df33b922b1bf60d858fa8d01ad982480288495340223ee4a0ecad6
202,1 3 6 7,4,297,693472,693472,df9370afdc9c9480936a66205a9404600e83b206aa61d5c3f3ada562f6ce5d3d
203,0 1 3 6 7,5,297,886208,886208,5d04bb4320f151b753c7918cfef6c54ecd264810f4984b027bb91d8ff20d5072
204,2 3 6 7,4,297,568288,568288,a8038bf204c474fb2ea6263898e63b6f3dcee310720bfe7283abb2adaab369f8
205,0 2 3 6 7,5,297,761024,761024,452a8086dfa8c91dadc396373646bfdb1775226b525ca70064b32abf672c4aa8
206,1 2 3 6 7,5,297,795424,795424,0fccafb3a8f9de0299bebd4ab71884ef52249892b1c6607b1a428ef3a196b0f2
207,0 1 2 3 6 7,6,297,988160,988160,051aa03652612e2bae9ed1a656eb0e990472ffde50ece40553f38e44ba77e7bc
208,4 6 7,3,297,395744,395744,be4adbe8d28f217c5bc1c4343b24a22d708ed76d2e1ed78ab8a4cf4c4b40ac27
209,0 4 6 7,4,297,588480,588480,7059e10062cac9b3f444e9bdcf8ffc1157e53920612aa7b36d69e35ed798f00e
210,1 4 6 7,4,297,622880,622880,33ee69415e65754aeb22af2a555820498289e749473274bcb829d00a925bb7a4
211,0 1 4 6 7,5,297,815616,815616,d9f93b5a9aefe9570d17ab1c56a96983fd8697b395df91bf3c499b40b4b56d2b
212,2 4 6 7,4,297,497696,497696,0b6f113832c0de98d51edefc7c8b8f14e2ccb05f3379c2230fb5908a3126e49c
213,0 2 4 6 7,5,297,690432,690432,bb6ba5fc1c7986f57a91628bd531d0edf327719173dc13681c5ba9fb301d4eaf
214,1 2 4 6 7,5,297,724832,724832,7c5cf8a714ced59d63b5f283f4aa278d96d2dfb5b9a9fbc8f415730f66166272
215,0 1 2 4 6 7,6,297,917568,917568,d5cccff89979cdf871c1643b20bf4572ec1fde89ca9ce06e7dfc12d248ea71f5
216,3 4 6 7,4,297,647168,647168,39836cdd6ffa30fed1570c33e4fc6a28ac888c66f5117662ccf47d80188ba92a
217,0 3 4 6 7,5,297,839904,839904,473103e39744f8896fcc763c1ffe2e919469996981d845cc1eb7565ede11d958
218,1 3 4 6 7,5,297,874304,874304,85de0845c58329e4bd91b236faf3a25785315ed3958f00f937f1af7dc1022e5e
219,0 1 3 4 6 7,6,297,1067040,1067040,95e62fc15f4bb8cfc880937ab7a7bd74eb31cae5225a9100fe9ea13176f8fad5
220,2 3 4 6 7,5,297,749120,749120,ec9323fbcc01b4db992979363331b66c6cb9a7afa7319e04c9e4f8b3f0ee8bf8
221,0 2 3 4 6 7,6,297,941856,941856,8c81fd370cce8e83c905362b3706f12d34136fff6de0f6e18d14e1064bd216c5
