mask,basis_cycle_ids,basis_active_count,lambda_support,lambda_coefficient_sum,lambda_abs_sum,lambda_vector_sha256
1857,0 6 8 9 10,5,297,554816,554816,27c470847fe229d1240d45ef2d25af6956043413ecc38240fb3c7ea1d91464db
1858,1 6 8 9 10,5,297,589216,589216,49d18afc88c479ff785c44447aa191b9118775c4a42859c16d6203646da5b4ad
1859,0 1 6 8 9 10,6,297,781952,781952,fe753f25507e7ddfa63161e506e5c5d216526a80cf373b74a765fec6a35817e1
1860,2 6 8 9 10,5,297,464032,464032,b670b3117bb1341b7fc3332b60f826f520cede139620097deba0fc25924d04d9
1861,0 2 6 8 9 10,6,297,656768,656768,75032c7e16427b86e9f7751cbbfdd3a624551df4bdce6eea65e912e31b8ef042
1862,1 2 6 8 9 10,6,297,691168,691168,9ad453dd1ae2bc70cd32f165fa9630efdcf260d4dd07e2e7f0b583ba348cb5d7
1863,0 1 2 6 8 9 10,7,297,883904,883904,375fb44243becf8d9afeb497123f8f9df9d46e12ce58afb3a11da05cfd5cd2d2
1864,3 6 8 9 10,5,297,613504,613504,7663c08ea5201585bfe7ea1d6425bae3678476b8f1b8cfd793bb8e2cbe0a26dc
1865,0 3 6 8 9 10,6,297,806240,806240,23cfb06b3afd38ed12547e5aec05a5e2eb21f7a1b361cda8bd4885a4eaa59b33
1866,1 3 6 8 9 10,6,297,840640,840640,d1b9096ca02212179855ae90b69d5a56c32a4aa9f631b9cd220cf888dc688bc7
1867,0 1 3 6 8 9 10,7,297,1033376,1033376,32e60fe700c2351c0eeeadb779c63136d1fcdfc02b7a04df17d7539048004285
1868,2 3 6 8 9 10,6,297,715456,715456,81982154209f5c58b70a090744d2e4067c6da2c1b7dbaaeeacefb1dbe8b85ecd
1869,0 2 3 6 8 9 10,7,297,908192,908192,67a89f11d8889794f6fe7028bf90c42b835cc5d1e5a656f360bda6cb9ab09bbe
1870,1 2 3 6 8 9 10,7,297,942592,942592,07aadfcaa20cc76253702a376d4b8c6dc19fad4a4e10d7e01e9f08affe341d3c
1871,0 1 2 3 6 8 9 10,8,297,1135328,1135328,ff0527e73fbd9b2900d4c4b9af82a97b37dd31c781260b441bc3e6a77f830fde
1872,4 6 8 9 10,5,297,542912,542912,787b89e954baf17abc893327eb82cadbb6d71243f05749c80da604830b053b2c
1873,0 4 6 8 9 10,6,297,735648,735648,2564a810f1b82d3e57b96c7ab520f6a771b334d166aefdec1f0ab629dfa41ac4
1874,1 4 6 8 9 10,6,297,770048,770048,f7edc98b804016bd3cecd30730a986f09f8f09916585369da14ca61e16535be4
1875,0 1 4 6 8 9 10,7,297,962784,962784,82e604af27a612107279ae159055970478a1754a2c6c7c77003c263f6f0c37e1
1876,2 4 6 8 9 10,6,297,644864,644864,5125dfd78c61b1e6bcc9554d35a6ce65c7356a4e53183cb0df61b8f29fc4e56a
1877,0 2 4 6 8 9 10,7,297,837600,837600,41f02ebd89fee7e5c02efe3ed52bba9cc2c8bee927c617ec861530f82a3794de
1878,1 2 4 6 8 9 10,7,297,872000,872000,85f40e2f197cbc46cb822175eb4d4b836fdfec6eff1ba36284d042fb25b7d22d
1879,0 1 2 4 6 8 9 10,8,297,1064736,1064736,ff5a3d8e35b9ab047b5121970e91750c9f431eb8bf8868c99019b3a42ae4ea5e
1880,3 4 6 8 9 10,6,297,794336,794336,e89b66a73a4ceecace980b7ff07b06e0504fa7b2908e74109c59b997d1294e04
1881,0 3 4 6 8 9 10,7,297,987072,987072,5c580634b8613923a3582205ad3603c74fe6fba9c9d46519a139f19b54c55300
1882,1 3 4 6 8 9 10,7,297,1021472,1021472,ffe33e0ce3f9f73c403d2f4250f10b196721fd2d5facd4e3510e6654eb51f7dd
1883,0 1 3 4 6 8 9 10,8,297,1214208,1214208,23e1e210c144f4a4c0c674b0446f432099fbad92e83378bbe283ca3d9c317082
1884,2 3 4 6 8 9 10,7,297,896288,896288,f26cc6e56a5f700bffb38e769e084f81bf89a79c1de50ed966c76f02903a2cff
1885,0 2 3 4 6 8 9 10,8,297,1089024,1089024,455ad03105da209943fff0bdb2cc0c36a5c6a545571f4479956292d27a7e4643
1886,1 2 3 4 6 8 9 10,8,297,1123424,1123424,fb107a0ca2cf2b119baede479161679314b4275a54906563ef22b07ccfcca0b3
1887,0 1 2 3 4 6 8 9 10,9,297,1316160,1316160,cbffea30f4ca7e9e0182c1fe924bed06f96c003832a1c850d3e4495c5fa10153
1888,5 6 8 9 10,5,297,414400,414400,91762b0245593be735711ca8805553e60ff8c0bc8546717d781c149967313296
1889,0 5 6 8 9 10,6,297,607136,607136,cb3b34a9440aa5024c38d778abe1c51e18e5424f9467eeb4b5db807139b7f3e6
1890,1 5 6 8 9 10,6,297,641536,641536,eeb31b1b0e8c635b11046aa34f3de60f389a7f7f1fb311fad348ada7ee885a81
1891,0 1 5 6 8 9 10,7,297,834272,834272,c24adf891457830edff8723e2bdbc6f06b8ac6a80c76503e7ce57253e4bd2453
1892,2 5 6 8 9 10,6,297,516352,516352,0743409c2487e8595d727bbf2c2efcdf07a5224ab7408dac6f17e8369eb69b6a
1893,0 2 5 6 8 9 10,7,297,709088,709088,de72fdb5763c1541f8b5a1d3fabf4a44e38e2d1a3e19d85144891aec9b4e2906
1894,1 2 5 6 8 9 10,7,297,743488,743488,993427ab666666185b35b9ddaa5a1c10faed386f5d67013843840dedea8d4e38
1895,0 1 2 5 6 8 9 10,8,297,936224,936224,af43fc870178e7086a205a6409589f42df715f771314d59d8041ee111d6aff88
1896,3 5 6 8 9 10,6,297,665824,665824,dc3a718299f378a8a85f8762f46cbdc94aac43203ef80fd8b6cdd0700e60daad
1897,0 3 5 6 8 9 10,7,297,858560,858560,aabc98d6b8a108dc1cc0c70ee78b925d1bcf56c1b8fbdbd2ba9204a148232db9
1898,1 3 5 6 8 9 10,7,297,892960,892960,d0040a58e63b995bdc7c8e5ab6f3d4792b444abd80040495fd8dbd7b8f624f0d
1899,0 1 3 5 6 8 9 10,8,297,1085696,1085696,18f21df19b67ac611ecbc62ea4a5b224f61466ba38cd58aad26df0ceecf80647
1900,2 3 5 6 8 9 10,7,297,767776,767776,27ad26c5fd3fdeb4523f0f915a4efd0c6df14b04bd18f5ac97d15aab0a307d20
1901,0 2 3 5 6 8 9 10,8,297,960512,960512,666c6b3c544875a453f0e76c6984f3de12ede66457f352ddd7ca7ca8d24b3166
1902,1 2 3 5 6 8 9 10,8,297,994912,994912,6f3068dce3ff24ad4be7e6c4bf63fd44874dc37e47b775a915b900a95e4fdcbf
1903,0 1 2 3 5 6 8 9 10,9,297,1187648,1187648,b7b87c8a138f90e5ea44353a94d450f7bbc6675e9df19ab1f1e8ecf1d2a09f5d
1904,4 5 6 8 9 10,6,297,595232,595232,6ba967fd81f887b58ab429e050ca689344326904e1a8cd999a54f02daca6f818
1905,0 4 5 6 8 9 10,7,297,787968,787968,92b677e56896e13b28ceeba6fce764bcd56bb4c58e8cd62786e409b986cc56d9
1906,1 4 5 6 8 9 10,7,297,822368,822368,5cdfc689628b0f16ff1f8c96a9c193d88043cda5671a3fe129e6892a79d66805
1907,0 1 4 5 6 8 9 10,8,297,1015104,1015104,a0e873f0d4011f4991514ebbfacb4acf435226036fc26cd9b886f144c21ed785
1908,2 4 5 6 8 9 10,7,297,697184,697184,99b6213691b8f65b33611ef8ad277e917dd104c65eb90a416a8d13cd7713aaa2
1909,0 2 4 5 6 8 9 10,8,297,889920,889920,75595872dbaec121817a4bb41c801d2b553ff71b58b395d75709afef78c186cf
1910,1 2 4 5 6 8 9 10,8,297,924320,924320,21e94c8eb7c9c3a9bb700b1c50f39add78eb200102f2d89a25ef1ed94c250500
1911,0 1 2 4 5 6 8 9 10,9,297,1117056,1117056,1997ecf3f0e91e3d6efe423ba510cff8af9dca31a0a4273c26e1aa33ebb19962
1912,3 4 5 6 8 9 10,7,297,846656,846656,9de15642225e92b8bd546edc8131224f49b0fea93cc5322f640d41f4ae653d02
1913,0 3 4 5 6 8 9 10,8,297,1039392,1039392,bb3fd58926712e9819372a0e412d433b49e3d229e1ea7737d4bb816602c55bd7
1914,1 3 4 5 6 8 9 10,8,297,1073792,1073792,54eb6c31ca209c87c6cac1765064fcdf51d87a4e67e8cb30b5d46c4ba13f143c
1915,0 1 3 4 5 6 8 9 10,9,297,1266528,1266528,94330d4d78b304a3bc5babd4e7bd9cbf1b93113c758b4a25b2047e488d3070be
1916,2 3 4 5 6 8 9 10,8,297,948608,948608,72db9a4361a21d0c9d87dcbe6dbf30cefe7a2ca837b686644e3979716f92bfe5
