cycle_id,length,optical_action,lambda_support,lambda_coefficient_sum,lambda_abs_sum,lambda_vector_sha256,step_removed_added
0,8,1075200,297,192736,192736,e1c663f49ca9792b0407c91fd5bf39902cbbe84c8ee9133c73fb1355b15404c4,B-->S+;S-->V+;S+->B-;V+->V-;B+->V+;V-->S+;V+->B+;S+->S-
1,8,1320960,297,227136,227136,e2978ed42c7f5142e8f691d4300ff08f129790c2abddd9272aec70b03b8d5b5f,B-->S+;S-->V+;S+->B-;B+->S-;V+->S+;S-->V-;S+->S-;V-->B+
2,5,774144,253,101952,101952,037df87b01c9b6ccdf95be8f582b30c75afabe0e17fbb91d19852e293d7d4860,B+->V+;S+->V-;B-->B+;V+->S+;V-->B-
3,10,1191936,297,251424,251424,f539e84460460a7905c19e041e1e49863dee9b69dcb0c769a014a5463bd1b879,S-->S+;V-->S-;S+->V+;S-->B+;V+->V-;B+->V+;B-->B+;V+->S+;B+->S-;S+->B-
4,8,1081344,297,180832,180832,81a678f032687333b2f9308f682bedc20b78260f23f16d958c28f76ab95b09bb,V-->S-;S+->V+;S-->B+;V+->V-;B-->S-;B+->V+;S-->S+;V+->B-
5,5,691200,193,52320,52320,3e3f9f1d6bc7cc76c88769a278b56f89ac40de148770ec2deb7ffcc23093ff8f,S-->B+;V+->V-;B-->S-;B+->V+;V-->B-
6,5,903168,253,71040,71040,8b5aaad0106fbb8c3ac01caeab1fa9ba94b8c558eddde5de4395366d17f1956c,S+->V-;V+->B+;V-->V+;B-->S+;B+->B-
7,5,1069056,283,143872,143872,f45c306340ee39d9336f66036657454879bc789e612ac9ca6184bebd4aa349e6,S+->V+;S-->B+;B-->S+;V+->S-;B+->B-
8,5,374784,193,53952,53952,16768c59028fabb25497a6a4a029faf3cc8504e496a63382c8ed7417bea1066c,B+->B-;V+->B+;B-->S-;V-->V+;S-->V-
9,5,992256,264,96448,96448,2ff6e00627e1818a3b41d44c16b676196877ec881300a7312c14fae62b90572b,S+->S-;V+->B+;V-->V+;B+->S+;S-->V-
10,8,1090560,297,140640,140640,4bbc329161e5368dc48cdc0bf5dc60cd4fe22da08a2643887534cab219db300d,S-->B+;S+->V+;B+->B-;V+->B+;B-->S-;V-->V+;B+->S+;V+->V-
