rule_id,state_count,target_min_offset,target_max_offset,expected_target_count_min,expected_target_count_max,actual_target_count_min,actual_target_count_max,lower_gap_nonnegative_count,upper_gap_nonnegative_count,lower_gap_zero_count,upper_gap_zero_count,support_inside_count,target_count_match_count,cumulative_certificate_count,lower_min_digits,lower_min_mod_1000000007,lower_min_mod_1000000009,upper_min_digits,upper_min_mod_1000000007,upper_min_mod_1000000009,rule_certificate_flag
0,112,0,2,3,3,3,3,112,112,112,0,112,112,112,1,0,0,46,806912617,460782133,1
1,112,1,3,3,3,3,3,112,112,0,0,112,112,112,46,64684370,380688003,46,775713106,809479571,1
2,112,2,3,2,2,2,2,112,112,0,0,112,112,112,46,935380113,83828226,46,517820631,439217931,1
3,112,2,4,3,3,3,3,112,112,0,0,112,112,112,47,548819187,400743760,47,530921495,23739260,1
4,7448,3,4,2,2,2,2,7448,7448,0,0,7448,7448,7448,45,369018085,116174529,47,650633218,760607478,1
5,112,3,3,1,1,1,1,112,112,0,0,112,112,112,49,944073625,111287046,48,550725711,989934033,1
6,8008,2,3,2,2,2,2,8008,8008,0,0,8008,8008,8008,49,384533544,602629388,50,759818456,293408324,1
7,112,2,2,1,1,1,1,112,112,0,112,112,112,112,49,734206217,620094102,1,0,0,1
