mode_code,node_count,native_cell_count,virtual_graft_cell_count,edge_count,component_count,left_to_right_path_exists,shortest_left_to_right_path_length,merged_component_size,merged_component_native_cell_count,merged_component_virtual_graft_cell_count,direct_boundary_bridge_count,left_right_graft_bridge_count
0,562,562,0,1694,13,0,-1,347,347,0,0,0
1,984,562,422,3134,23,1,2,925,534,391,1,25
2,984,562,422,3134,23,1,2,925,534,391,1,25
