virtual_graft_cell_id,word_length,word_symbol_0_id,word_symbol_1_id,word_symbol_2_id,word_symbol_3_id,word_symbol_4_id,word_symbol_5_id,word_symbol_6_id,word_symbol_7_id,word_symbol_8_id,word_symbol_9_id,word_symbol_10_id,word_symbol_11_id,word_symbol_12_id,word_symbol_13_id,word_symbol_14_id,word_symbol_15_id,left_edit_radius,right_edit_radius,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_node_12_id,trace_node_13_id,trace_node_14_id,trace_node_15_id,trace_node_16_id,trace_node_17_id,trace_node_18_id,trace_node_19_id,metric_gromov_delta_twice,trace_signature_total_variation,first_return_closed_path_count,normalized_tail_template_count,template_lift_count_min,template_lift_count_max,all_four_lift_flag,tail_entry_9_path_count,tail_entry_10_path_count,tail_entry_11_path_count,tail_entry_13_path_count,virtual_31_28_admissible_flag,virtual_50_34_admissible_flag,adjacent_native_component_count,adjacent_native_component_mask,adjacent_left_component_flag,adjacent_right_component_flag,left_right_bridge_flag,direct_boundary_bridge_flag,closed_ge24_template_ge6_flag,clear_flag,exact24_six_all_four_flag
0,12,2,1,4,5,1,2,5,5,2,1,4,5,-1,-1,-1,-1,1,1,11,48,42,27,28,34,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,185,30,9,2,4,0,12,2,4,12,1,1,2,3,1,1,1,1,1,0,0
1,12,2,1,4,5,1,2,5,4,1,1,4,5,-1,-1,-1,-1,3,3,7,48,42,27,28,34,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,143,12,3,4,4,1,0,0,0,12,1,1,2,3,1,1,1,0,0,0,0
2,13,2,1,4,5,1,2,5,4,1,2,1,4,5,-1,-1,-1,3,3,7,48,42,27,28,34,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,143,8,2,4,4,1,0,0,0,0,1,1,2,3,1,1,1,0,0,0,0
3,14,2,1,4,5,1,2,5,4,1,5,2,1,4,5,-1,-1,3,3,7,48,42,27,28,34,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,143,8,2,4,4,1,0,0,8,0,1,1,2,3,1,1,1,0,0,0,0
4,14,2,1,4,5,1,2,5,4,4,5,2,1,4,5,-1,-1,3,3,7,48,42,27,28,34,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,143,48,3,16,16,0,0,0,0,48,1,1,2,3,1,1,1,0,0,0,0
5,13,2,1,3,4,5,5,2,5,4,1,1,4,5,-1,-1,-1,3,99,8,48,42,27,31,50,54,45,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,161,48,3,16,16,0,0,0,0,48,1,1,1,1,1,0,0,0,0,0,0
6,13,2,1,3,4,5,5,2,5,5,2,5,4,3,-1,-1,-1,3,99,8,48,42,27,31,50,54,45,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,161,240,18,8,16,0,96,24,24,96,1,1,0,0,0,0,0,0,1,0,0
7,13,2,1,3,4,5,5,4,4,5,2,1,4,5,-1,-1,-1,3,99,8,48,42,27,31,50,54,53,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,161,144,3,48,48,0,0,0,0,144,1,1,0,0,0,0,0,0,0,0,0
8,14,2,1,3,4,5,5,2,5,4,1,2,1,4,5,-1,-1,3,99,8,48,42,27,31,50,54,45,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,161,32,2,16,16,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
9,14,2,1,3,4,5,5,2,5,5,2,5,4,1,5,-1,-1,3,99,8,48,42,27,31,50,54,45,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,161,80,2,40,40,0,0,40,40,0,1,1,0,0,0,0,0,0,0,0,0
