observable_id,observable_code,value_x1e12,aux_id
0,0,26197000000000000,-1
1,1,562000000000000,-1
2,2,11075000000000000,-1
3,3,422000000000000,-1
4,4,14138000000000000,-1
5,5,1694000000000000,-1
6,6,13000000000000,-1
7,7,347000000000000,-1
8,8,185000000000000,-1
9,9,0,-1
10,10,984000000000000,-1
11,11,3134000000000000,-1
12,12,23000000000000,-1
13,13,1000000000000,-1
14,14,925000000000000,-1
15,15,534000000000000,-1
16,16,391000000000000,-1
17,17,25000000000000,-1
18,18,1000000000000,-1
19,19,2000000000000,-1
20,20,1000000000000,-1
21,21,1000000000000,-1
22,22,2000000000000,-1
23,23,185000000000000,-1
24,24,30000000000000,-1
25,25,9000000000000,-1
26,26,1000000000000,-1
27,27,4000000000000,-1
28,28,249000000000000,-1
29,29,143000000000000,-1
30,30,143000000000000,-1
