local_unit_column,full_unit_column,source_sector,raw_sector,i,j,relation_alpha,coefficient_mod_1000003,coefficient_source
0,193,5,21,0,0,271,844600,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,274,844600,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,276,155403,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,279,155403,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,281,844600,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,283,155403,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,285,155403,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,290,844600,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,886,582033,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,890,582033,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,893,746096,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,895,253907,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,896,417970,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,897,582033,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,907,417970,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,908,582033,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,909,417970,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,910,746096,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,912,253907,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,916,417970,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,917,746096,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,921,417970,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,923,746096,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,926,417970,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,927,582033,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,928,417970,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,930,417970,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,932,746096,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,934,253907,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,935,582033,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,938,582033,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,940,746096,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,941,417970,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,943,417970,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,945,582033,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,951,582033,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,954,582033,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,955,253907,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,956,746096,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,960,417970,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,961,746096,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,962,417970,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,964,582033,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,965,253907,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,969,582033,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,973,746096,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,975,746096,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,977,253907,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,978,253907,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,981,253907,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
0,193,5,21,0,0,982,253907,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
