legacy_sector,constraint_name,constraint
5,left_inverse_00,"ginv[0,0]*g[0,0] + ginv[0,1]*g[1,0] - 1 = 0"
5,left_inverse_01,"ginv[0,0]*g[0,1] + ginv[0,1]*g[1,1] = 0"
5,left_inverse_10,"ginv[1,0]*g[0,0] + ginv[1,1]*g[1,0] = 0"
5,left_inverse_11,"ginv[1,0]*g[0,1] + ginv[1,1]*g[1,1] - 1 = 0"
5,right_inverse_00,"g[0,0]*ginv[0,0] + g[0,1]*ginv[1,0] - 1 = 0"
5,right_inverse_01,"g[0,0]*ginv[0,1] + g[0,1]*ginv[1,1] = 0"
5,right_inverse_10,"g[1,0]*ginv[0,0] + g[1,1]*ginv[1,0] = 0"
5,right_inverse_11,"g[1,0]*ginv[0,1] + g[1,1]*ginv[1,1] - 1 = 0"
5,determinant_nonzero,"det_g = g[0,0]*g[1,1] - g[0,1]*g[1,0] != 0"
