node_id,stationary_mass_x1e12,basin_code,poincare_x_x1e12,poincare_y_x1e12,poincare_radius_x1e12,tensor_path_coefficient_mass_sum,signature_union_count,stationary_rank
10,60964383817,10,37888666500,-83666978700,91846145200,230656,167,8
13,91448650143,43,-40196340300,-54106596700,67403780200,135552,165,3
17,33776644764,10,22891134300,-63958037300,67931101600,208256,171,11
19,45863301091,0,-47193434400,-32906281500,57532978500,217216,173,9
28,79786909943,43,-30072097200,-44210310300,53468519400,136320,169,6
32,26617242245,10,33015377400,-54061751000,63345781700,209024,175,12
34,88173593812,0,-37069191300,-23009995100,43630090800,217984,177,4
38,83222089120,43,-65911900000,42382013800,78362067700,187008,155,5
41,79481608761,43,-45069629500,-24501368900,51299011500,113920,167,7
42,40880734813,0,-2824425500,32530573100,32652956500,259712,183,10
43,154410228837,43,-115154198200,6550386900,115340352500,122880,155,2
44,215374612654,0,-72908994200,63582329000,96738999300,268672,185,1
