path_weight_id,morphism_id,source_node_id,path_length,node_id_0,node_id_1,node_id_2,node_id_3,node_id_4,node_id_5,node_id_6,path_tensor_mass_sum,path_signature_sum,path_hyperbolic_length_x1e12,raw_weight_x1e9,global_probability_x1e12,source_probability_x1e12
0,4,10,4,10,17,19,34,44,-1,-1,1142784,873,420227438023,804648586138249,33386655067,117948176503
1,5,10,3,10,17,19,44,-1,-1,-1,924800,696,404272567733,658561607802894,27325182221,96534241274
2,8,10,4,10,17,32,34,44,-1,-1,1134592,875,420121576361,798940047729813,33149795143,117111399172
3,10,10,4,10,17,32,42,44,-1,-1,1176320,881,419887463017,828460022810756,34374644403,121438539356
4,12,10,3,10,17,42,44,-1,-1,-1,967296,706,403765402433,689072403639315,28591142832,101006619396
5,15,10,3,10,19,34,44,-1,-1,-1,934528,702,415595649208,660165917098604,27391748573,96769406487
6,16,10,2,10,19,44,-1,-1,-1,-1,716544,525,399640778918,511948501924834,21241879176,75043184448
7,19,10,3,10,32,34,44,-1,-1,-1,926336,704,402206010847,660627605954005,27410905068,96837082438
8,21,10,3,10,32,42,44,-1,-1,-1,968064,710,401971897503,690501715279866,28650448144,101216132846
9,23,10,2,10,34,44,-1,-1,-1,-1,717312,529,381769838968,519125530005461,21539669994,76095218080
10,115,43,4,43,13,19,34,44,-1,-1,962304,855,455712260049,661053716733396,27428585349,38257963800
11,116,43,3,43,13,19,44,-1,-1,-1,744320,678,439757389760,516975988658917,21450480754,29919578635
12,119,43,4,43,13,28,34,44,-1,-1,881408,851,455674013514,605498203455763,25123463846,35042732175
13,120,43,3,43,13,28,44,-1,-1,-1,663424,674,455589080875,455776983158578,18911198238,26377734337
14,124,43,5,43,13,41,28,34,44,-1,995328,1018,537132691157,647522498041961,26867145065,37474855164
15,125,43,4,43,13,41,28,44,-1,-1,777344,841,537047758519,505738351779802,20984206268,29269209241
16,127,43,4,43,13,41,42,44,-1,-1,900736,855,550553291848,580912635983368,24103354105,33619861799
17,128,43,3,43,13,41,44,-1,-1,-1,641024,672,440104207493,445123343619553,18469155096,25761163330
18,129,43,2,43,13,44,-1,-1,-1,-1,527104,505,439680303179,366125728632992,15191368783,21189238511
19,132,43,3,43,28,34,44,-1,-1,-1,745856,686,432404250046,520702169081146,21605088247,30135228395
20,133,43,2,43,28,44,-1,-1,-1,-1,527872,509,432319317407,368543517904565,15291688224,21329166163
21,138,43,5,43,38,13,19,34,44,-1,1149312,1010,584795549700,725211526633668,30090635225,41971046575
22,139,43,4,43,38,13,19,44,-1,-1,931328,833,568840679410,593640904537354,24631478206,34356500329
23,142,43,5,43,38,13,28,34,44,-1,1068416,1006,584757303164,674182726822956,27973337106,39017794931
24,143,43,4,43,38,13,28,44,-1,-1,850432,829,584672370526,536661088952902,22267259240,31058838328
25,147,43,6,43,38,13,41,28,34,44,1182336,1173,666215980807,709593482248932,29442607913,41067164543
26,148,43,5,43,38,13,41,28,44,-1,964352,996,666131048169,578797208694852,24015580333,33497433109
27,150,43,5,43,38,13,41,42,44,-1,1087744,1010,679636581498,647606757308033,26870641169,37479731602
28,151,43,4,43,38,13,41,44,-1,-1,828032,827,569187497144,527682001996082,21894697001,30539180734
29,152,43,3,43,38,13,44,-1,-1,-1,714112,660,568763592829,455206892398627,18887543907,26344740783
30,155,43,4,43,38,28,34,44,-1,-1,932864,841,543890643358,604229324151315,25070815228,34969296784
31,156,43,3,43,38,28,44,-1,-1,-1,714880,664,543805710720,463063450948537,19213529952,26799432928
32,160,43,5,43,38,41,28,34,44,-1,1046784,1008,546164412741,677019850782863,28091055674,39181991248
33,161,43,4,43,38,41,28,44,-1,-1,828800,831,546079480103,536065584380458,22242550434,31024373969
34,163,43,4,43,38,41,42,44,-1,-1,952192,845,559585013432,610541901723270,25332738077,35334632245
35,164,43,3,43,38,41,44,-1,-1,-1,692480,662,449135929078,477857174130479,19827354349,27655608019
36,165,43,2,43,38,44,-1,-1,-1,-1,578560,495,167912808215,495379446077362,20554392288,28669695723
37,169,43,4,43,41,28,34,44,-1,-1,859776,853,437025175094,598302670615097,24824905224,34626296373
38,170,43,3,43,41,28,44,-1,-1,-1,641792,676,436940242456,446637919266015,18531998200,25848818204
39,172,43,3,43,41,42,44,-1,-1,-1,765184,690,450445775785,527550917638340,21889258020,30531594330
40,173,43,2,43,41,44,-1,-1,-1,-1,505472,507,339996691430,377218841831929,15651646661,21831243710
41,174,43,1,43,44,-1,-1,-1,-1,-1,391552,340,143451959337,342429777484562,14208171197,19817853980
