frame_edge_id,abstract_sector_label,abstract_tetra_edge,mog_edge_label,transfer_edge_id,source_state_id,target_state_id,undirected_stationary_flux_x1e12,source_side_code,target_side_code,source_word_length,target_word_length,edit_prefix_length,source_edit,target_edit,source_word,target_word
0,B-,01,B+^V+,2457,801,832,170677590,1,-1,12,13,4,,5,2.1.4.5.1.1.5.5.2.1.4.5,2.1.4.5.5.1.1.5.5.2.1.4.5
1,B+,23,B+^S-,2469,805,837,170677590,1,-1,11,11,4,1,5,2.1.4.5.1.2.5.2.1.4.5,2.1.4.5.5.2.5.2.1.4.5
2,V-,02,B+^S+,2483,809,838,170677590,1,-1,13,13,4,1,5,2.1.4.5.1.2.5.2.5.2.1.4.5,2.1.4.5.5.2.5.2.5.2.1.4.5
3,V+,13,V+^S-,2490,816,839,170677590,1,-1,11,11,4,1,5,2.1.4.5.1.2.5.5.1.4.5,2.1.4.5.5.2.5.5.1.4.5
4,S-,03,V+^S+,2494,818,840,170677590,1,-1,12,12,4,1,5,2.1.4.5.1.2.5.5.2.1.4.5,2.1.4.5.5.2.5.5.2.1.4.5
5,S+,12,S-^S+,2498,819,841,170677590,1,-1,13,13,4,1,5,2.1.4.5.1.2.5.5.2.1.4.5.2,2.1.4.5.5.2.5.5.2.1.4.5.2
