frame_edge_id,column_a,column_b,label_a,label_b,pair_octad_index,big_cell_coordinate,opposite_frame_edge_id,wu_radical_edge_flag,wu_radical_opposite_edge_flag
0,1,3,B+,V+,6,11,5,0,0
1,1,4,B+,S-,7,12,4,1,0
2,1,5,B+,S+,8,14,3,0,0
3,3,4,V+,S-,12,20,2,0,0
4,3,5,V+,S+,13,21,1,0,1
5,4,5,S-,S+,14,23,0,0,0
