shell_weight,sample_index,i,j,delta,base,smoothed,xi,xj,t,cv_x,bad_pairs,total_pairs,bad_fraction
8,10,7,14,-0.921162945644876,8.161878467517782,7.2407155218729065,0.17317021795554588,0.5368014626233388,0.3988381467847121,1.1170561778694799,1733,16560,0.10464975845410628
12,55,4,16,-0.017949586075856616,0.7031285017718669,0.6851789156960103,0.1608378222117895,0.10413478044826173,0.13548589881024312,1.1396286258203328,703,16560,0.042451690821256036
16,39,19,20,-0.0026940176255244586,0.03643614989253303,0.03374213226700857,0.10900509550925475,0.04798048294571587,0.08421471840090033,0.9207321348371267,377,16560,0.02276570048309179
