shell_weight,route,ratio,scale,cv_x,max_x,min_x
8,uniform_elementary_symmetric_domination,35.2063713292394,5.0,2.90487692424914,1.0,3.6141434684857793e-07
12,uniform_elementary_symmetric_domination,78.9343866140252,5.0,3.8602246107879576,1.0,1.4205543189175928e-08
16,uniform_elementary_symmetric_domination,29.79235409241178,3.5,3.2697119627685995,1.0,9.077725062500188e-08
