atom_selected_class_code,representative_candidate_id,candidate_count,frontier_class_flag,geodesic_optimal_flag,x1_tail_preserving_flag,x0_tail_flag,atom_selected_tail_cost,min_trace_detour_overhead,min_signature_valley_depth,min_metric_gromov_delta_twice,min_trace_signature_total_variation,selector_required_count,clean_carrier_first_contact_count,selected_first_contact_x5_leakage_count,full_atom_selector_certified_count
0,0,6,1,1,0,0,1,0,0,0,53,6,0,0,6
1,6,2,1,0,1,0,0,3,37,1,127,1,1,0,0
2,8,2,0,0,0,1,1,3,41,1,135,1,1,0,0
