candidate_id,rank_order,cell_edge_0_id,trace_detour_overhead,signature_valley_depth,metric_gromov_delta_twice,trace_signature_total_variation,x1_tail_preserving_flag,x0_tail_flag,typed_tail_abandonment_flag,old_typed_boundary_cost,carrier_mask_pure_x2_first_contact_flag,carrier_mask_mixed_x2_x5_first_contact_flag,atom_level_x2_witness_flag,selected_first_contact_atom_id,selected_first_contact_symbol_id,selected_first_contact_x5_leakage_flag,unselected_x5_first_contact_cowitness_flag,first_contact_selector_required_flag,full_atom_selector_certified_flag,atom_selected_tail_cost,atom_cost_reduction,geodesic_optimal_flag,atom_selected_pareto_frontier_flag,atom_selected_dominated_flag,atom_selected_class_code
0,1,39,0,0,0,53,0,0,1,2,0,1,1,7,2,0,1,1,1,1,1,1,1,0,0
1,2,39,0,0,0,53,0,0,1,2,0,1,1,7,2,0,1,1,1,1,1,1,1,0,0
2,3,39,0,0,0,53,0,0,1,2,0,1,1,7,2,0,1,1,1,1,1,1,1,0,0
3,4,41,0,0,0,53,0,0,1,2,0,1,1,7,2,0,1,1,1,1,1,1,1,0,0
4,5,41,0,0,0,53,0,0,1,2,0,1,1,7,2,0,1,1,1,1,1,1,1,0,0
5,6,41,0,0,0,53,0,0,1,2,0,1,1,7,2,0,1,1,1,1,1,1,1,0,0
6,7,14,3,37,1,127,1,0,0,0,1,0,1,7,2,0,0,0,0,0,0,0,1,0,1
7,8,41,3,37,1,127,1,0,0,1,0,1,1,7,2,0,1,1,0,0,1,0,1,0,1
8,9,14,3,41,1,135,0,1,1,1,1,0,1,7,2,0,0,0,0,1,0,0,0,1,2
9,10,41,3,41,1,135,0,1,1,2,0,1,1,7,2,0,1,1,0,1,1,0,0,1,2
