inactive_basis_id,shell_id,weak_class_code,active_boundary_count,inactive_boundary_count,weighted_degree,dominant_component_id,prob0_num_mod_1000000007,prob0_den_mod_1000000007,prob0_num_mod_1000000009,prob0_den_mod_1000000009,prob1_num_mod_1000000007,prob1_den_mod_1000000007,prob1_num_mod_1000000009,prob1_den_mod_1000000009,prob2_num_mod_1000000007,prob2_den_mod_1000000007,prob2_num_mod_1000000009,prob2_den_mod_1000000009
0,1,11,119,104,223,0,238888459,253126048,431128513,867253560,523549786,253126048,651360151,867253560,490687810,253126048,784764905,867253560
2,1,11,1,207,208,0,809279172,253126048,750903454,867253560,240067262,253126048,971470120,867253560,203779621,253126048,144879995,867253560
3,2,11,0,6,6,0,794372356,253126048,595429762,867253560,24673648,253126048,191890908,867253560,434080051,253126048,79932890,867253560
4,1,11,256,20,276,0,735525502,253126048,349127016,867253560,11463087,253126048,858768221,867253560,506137466,253126048,659358332,867253560
6,2,11,0,11,11,0,381439322,253126048,669215851,867253560,641007153,253126048,721699471,867253560,230679580,253126048,476338247,867253560
8,1,11,11,215,226,0,145908675,253126048,301211449,867253560,862343293,253126048,113646142,867253560,244874087,253126048,452395969,867253560
9,1,11,732,735,1467,1,505230978,253126048,331150462,867253560,830908871,253126048,599560470,867253560,916986213,253126048,936542637,867253560
10,1,11,1,7,8,1,467234852,253126048,738720372,867253560,931530167,253126048,20042301,867253560,854361043,253126048,108490887,867253560
11,1,11,3,49,52,0,245615527,759378144,652301118,601760662,292082274,253126048,310738836,867253560,637515802,759378144,17243045,601760662
12,2,11,0,16,16,0,274230657,253126048,170466369,867253560,578759410,253126048,70859549,867253560,400135988,253126048,625927642,867253560
13,1,11,9,13,22,0,148014662,759378144,658081479,601760662,214114907,253126048,107534352,867253560,969018768,759378144,621076136,601760662
15,2,11,0,8,8,0,254832266,253126048,710161881,867253560,165611253,253126048,897463418,867253560,832682536,253126048,259628270,867253560
16,2,11,0,13,13,0,292863549,253126048,31017329,867253560,482664168,253126048,879694663,867253560,477598338,253126048,956541577,867253560
17,2,11,0,4,4,0,560170479,759378144,175637631,601760662,138599040,506252096,933544663,734507111,982618217,518756281,51612091,203521315
18,1,11,1,3,4,0,395708191,253126048,47052544,867253560,503225437,506252096,51392601,734507111,211610284,506252096,589009422,734507111
22,1,11,7,205,212,0,944229993,253126048,707651061,867253560,552593215,253126048,540390174,867253560,756302854,253126048,619212334,867253560
23,2,11,0,6,6,0,204511196,253126048,168207685,867253560,600833838,253126048,704002665,867253560,447781021,253126048,995043219,867253560
24,3,3,0,5,5,0,990317962,253126048,299332769,867253560,673090855,253126048,199966008,867253560,589717245,253126048,367954783,867253560
25,1,11,731,736,1467,2,923112954,253126048,951186810,867253560,296895087,253126048,176611886,867253560,33118014,253126048,739454873,867253560
26,1,11,2,12,14,2,976570348,253126048,264010436,867253560,830141832,253126048,562186966,867253560,446413882,253126048,41056158,867253560
27,2,11,0,44,44,0,251561782,759378144,739680658,601760662,270747213,253126048,764304115,867253560,695574730,759378144,569167686,601760662
28,2,11,0,4,4,0,653980899,759378144,163630764,601760662,81446490,506252096,939109108,734507111,966455027,518756281,58932490,203521315
29,1,11,1,3,4,0,280934986,759378144,129150765,601760662,446072887,506252096,56957046,734507111,618667662,518756281,774348656,203521315
37,1,11,1,179,180,0,890645210,253126048,719836673,867253560,224352629,253126048,293571988,867253560,138128216,253126048,853844908,867253560
38,2,11,0,8,8,0,716789240,253126048,527514599,867253560,118965842,253126048,701421922,867253560,417370973,253126048,638317048,867253560
39,2,11,0,20,20,0,101661214,253126048,393229580,867253560,684750272,253126048,874830243,867253560,466714569,253126048,599193746,867253560
40,2,11,0,6,6,0,569850230,253126048,94812145,867253560,351686756,253126048,139038494,867253560,331589069,253126048,633402921,867253560
41,2,3,0,5,5,0,898006234,253126048,669908521,867253560,524219588,253126048,550701119,867253560,830900240,253126048,646643929,867253560
42,1,11,58,208,266,0,969772508,253126048,328032452,867253560,461614737,253126048,607267538,867253560,821738817,253126048,931953579,867253560
43,2,11,0,9,9,0,608729289,253126048,876922649,867253560,719947222,253126048,317963435,867253560,924449551,253126048,672367485,867253560
45,2,11,0,6,6,0,302339101,253126048,591265842,867253560,540268782,253126048,25640674,867253560,410518172,253126048,250347044,867253560
46,3,11,0,4,4,0,915007329,253126048,155738837,867253560,699239209,253126048,849379888,867253560,638879524,253126048,862134844,867253560
48,2,3,0,5,5,0,446621811,253126048,563501033,867253560,996472050,253126048,28274742,867253560,810032201,253126048,275477785,867253560
49,2,11,0,7,7,0,275714097,253126048,586326819,867253560,839747372,253126048,855965058,867253560,137664586,253126048,424961692,867253560
51,2,11,0,6,6,0,627941394,253126048,107011744,867253560,21286061,253126048,195747598,867253560,603898600,253126048,564494218,867253560
52,3,11,0,4,4,0,15810377,253126048,176733379,867253560,673928919,253126048,76189111,867253560,563386759,253126048,614331070,867253560
53,1,11,144,40,184,2,523256342,759378144,610054011,601760662,99809807,253126048,118663242,867253560,936692388,759378144,635716934,601760662
55,1,11,14,218,232,0,464334431,253126048,897846848,867253560,63357501,253126048,554423059,867253560,725434123,253126048,414983662,867253560
56,2,11,0,5,5,0,531644637,253126048,906583218,867253560,813396175,253126048,57296199,867253560,908085250,253126048,903374152,867253560
57,1,11,210,64,274,0,854447710,253126048,612998220,867253560,601171043,253126048,41646083,867253560,797507309,253126048,212609257,867253560
58,3,11,0,6,6,0,275068488,253126048,175662046,867253560,654204190,253126048,230060618,867253560,323853377,253126048,461530896,867253560
62,3,3,0,5,5,0,385406145,506252096,231206813,734507111,757363887,253126048,499745009,867253560,606118191,506252096,503810289,734507111
64,1,11,4,40,44,2,361080567,150050220,235886175,628170511,699224741,253126048,838600781,867253560,226182323,150050220,139447208,628170511
65,1,11,4,8,12,0,877573694,150050220,406116361,628170511,70874812,253126048,741857702,867253560,870485585,150050220,612884778,628170511
68,1,11,3,127,130,0,922406126,253126048,979411214,867253560,892183697,253126048,707719699,867253560,438536239,253126048,180122656,867253560
69,1,11,3,7,10,0,886510897,253126048,557385048,867253560,702737906,253126048,766202855,867253560,663877259,253126048,543665666,867253560
74,1,11,4,188,192,0,806384084,12504185,984407796,469014213,170040829,253126048,28993413,867253560,525956799,12504185,368632774,469014213
75,2,11,0,28,28,0,201715509,506252096,9599036,734507111,391852508,253126048,133140646,867253560,520831578,506252096,458626783,734507111
76,2,3,0,5,5,0,312520632,506252096,721893427,734507111,543279270,253126048,452731577,867253560,107172931,506252096,107150539,734507111
