sample_id,circuit_size,v0,v1,v2,v3,v4,pairing_value_bit_length
0,4,0,1,2,3,-1,124
1,4,0,1,2,4,-1,127
2,4,0,1,3,4,-1,127
3,4,0,1,5,6,-1,48
4,4,0,1,5,10,-1,113
5,4,0,1,5,11,-1,113
6,4,0,1,6,10,-1,121
7,4,0,1,6,11,-1,121
8,4,0,1,7,14,-1,129
9,4,0,1,8,13,-1,132
10,4,0,1,9,12,-1,121
11,4,0,1,10,11,-1,113
12,4,0,1,15,47,-1,136
13,4,0,1,16,17,-1,127
14,4,0,1,16,31,-1,129
15,4,0,1,16,32,-1,124
