profile_id,profile_code,source_code,byte_surface,baseline_public_exchange_bytes,saved_vs_baseline_bytes,saved_vs_baseline_num,saved_vs_baseline_den,internal_certified_flag,external_benchmark_flag,drop_in_compat_flag,public_claim_flag
0,0,0,5376,1568,0,0,1,1,0,0,0
1,1,1,224,1568,1344,6,7,1,0,0,0
2,2,2,56,1568,1512,27,28,1,0,0,0
