observable_id,observable_code,value
0,0,3
1,1,3
2,2,20
3,3,59
4,4,100
5,5,3
6,6,5
7,7,6
8,8,14
9,9,8
10,10,15
11,11,44
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,5
