decision_id,decision_code,source_present_flag,certified_by_input_flag,source_bound_flag,deterministic_selector_flag,finite_authority_support_flag,route_blocking_flag,extension_required_flag,extension_open_flag,external_randomness_claim_flag,decision_accept_flag
0,0,1,1,1,1,0,0,0,0,0,1
1,1,1,1,1,1,1,0,0,1,0,1
2,2,1,1,1,1,1,0,0,0,0,1
3,3,1,1,1,1,1,0,0,1,0,1
4,4,0,1,0,0,0,0,0,1,0,1
5,5,0,1,0,0,0,0,0,1,0,1
