claim_id,claim_code,closed_flag,open_flag,required_for_mandate_flag,proven_by_current_inputs_flag,overclaim_flag
0,0,1,0,1,1,0
1,1,1,0,1,1,0
2,2,1,0,1,1,0
3,3,0,1,0,0,0
4,4,0,1,0,0,0
5,5,0,1,0,0,0
6,6,0,1,0,0,0
