atom_id,x,y,radius,angle_radians,tensor_path_coefficient_mass,internal_signature_class_count,central_rank,mass_rank,signature_rank
0,-0.4689125534,-0.779885259,0.91,-2.1121405985,9600,50,20,20,20
1,0.0604770773,-0.2112521908,0.2197384013,-1.2919746018,32256,69,12,15,14
2,-0.1847260409,0.0517753557,0.1918447228,2.8683226142,33024,81,9,13,6
3,-0.3594401927,0.0867315895,0.3697561639,2.9048223319,46080,72,15,8,8
4,0.0908498066,-0.1815633317,0.2030244586,-1.1068485229,33024,70,11,14,10
5,-0.1700045325,0.0954633297,0.1949738147,2.6299372918,22976,70,10,16,11
6,-0.3840106091,0.1539436741,0.4137182649,2.7603245183,36864,67,18,12,15
7,-0.0166696019,0.0782136406,0.079970302,1.7807835506,83712,97,1,4,2
8,-0.0288441057,0.1437110541,0.1465771111,1.7688735491,122880,90,3,2,4
9,-0.066457121,0.1318703583,0.1476697001,2.0376053139,112640,110,5,3,1
10,0.6814284218,-0.5541649983,0.8783185865,-0.6827622659,16512,55,19,18,18
11,0.0458572098,-0.1224365075,0.1307424264,-1.2124301491,10624,53,2,19,19
12,-0.1643964963,-0.0292812399,0.1669838285,-2.9653275832,19584,58,8,17,17
13,0.3452939347,0.1622962376,0.3815337077,0.4393800733,38400,70,16,11,12
14,0.1912102222,0.1875083233,0.2678072448,0.7756236724,66048,71,13,6,9
15,-0.0562685454,0.1445483219,0.1551140438,1.9420199409,55808,89,6,7,5
16,0.3513035571,0.1738380622,0.3919615556,0.4595088311,40960,63,17,10,16
17,0.2261560493,0.1807200509,0.2894931699,0.6741885528,75264,70,14,5,13
18,-0.0551855956,0.1461489429,0.1562208804,1.9318430296,45440,76,7,9,7
19,-0.0376608843,0.1418145863,0.1467300892,1.8303692093,165376,97,4,1,3
