support_row_id,relation_id,block_i,rep4,pivot_flag,frame_support_mask,frame_support_weight,euler_nonzero_flag,syzygy_nonzero_count,signed_sum,signed_l1,min_signed,max_signed,negative_count,positive_count
0,155,1,6,1,4,1,0,1,-1,1,-1,-1,1,0
1,156,1,12,0,0,0,0,0,0,0,0,0,0,0
2,157,1,6,1,2,1,0,1,-1,1,-1,-1,1,0
3,158,1,12,0,0,0,0,0,0,0,0,0,0,0
4,159,1,12,0,0,0,0,0,0,0,0,0,0,0
5,160,1,3,0,0,0,0,0,0,0,0,0,0,0
6,161,1,12,0,0,0,0,0,0,0,0,0,0,0
7,162,1,3,0,0,0,0,0,0,0,0,0,0,0
8,163,1,1,0,0,0,0,0,0,0,0,0,0,0
9,164,1,6,0,0,0,0,0,0,0,0,0,0,0
10,165,1,6,0,0,0,0,0,0,0,0,0,0,0
11,166,1,1,0,0,0,0,0,0,0,0,0,0,0
12,886,5,12,1,9756736,7,0,7,-500003,500011,-500001,2,4,3
13,890,5,12,0,0,0,0,0,0,0,0,0,0,0
14,893,5,1,0,0,0,0,0,0,0,0,0,0,0
15,895,5,6,1,13893632,4,0,4,-500001,500005,-500001,2,3,1
16,896,5,6,1,64,1,0,1,-1,1,-1,-1,1,0
17,897,5,6,1,4096,1,0,1,-1,1,-1,-1,1,0
18,907,5,12,0,0,0,0,0,0,0,0,0,0,0
19,908,5,6,1,4104,2,0,2,0,2,-1,1,1,1
20,909,5,6,1,80,2,0,2,0,2,-1,1,1,1
21,910,5,3,1,8192,1,0,1,-1,1,-1,-1,1,0
22,912,5,3,0,0,0,0,0,0,0,0,0,0,0
23,916,5,6,1,96,2,0,2,0,2,-1,1,1,1
24,917,5,3,0,0,0,0,0,0,0,0,0,0,0
25,921,5,12,0,0,0,0,0,0,0,0,0,0,0
26,923,5,6,0,0,0,0,0,0,0,0,0,0,0
27,926,5,6,0,0,0,0,0,0,0,0,0,0,0
28,927,5,6,1,4224,2,0,2,0,2,-1,1,1,1
29,928,5,12,1,16384,1,0,1,-1,1,-1,-1,1,0
30,930,5,6,1,32768,1,0,1,-1,1,-1,-1,1,0
31,932,5,3,1,262144,1,0,1,-1,1,-1,-1,1,0
32,934,5,3,1,1835008,3,0,3,-1,5,-2,2,2,1
33,935,5,6,1,131072,1,0,1,-1,1,-1,-1,1,0
34,938,5,6,1,131328,2,0,2,0,2,-1,1,1,1
35,940,5,3,0,0,0,0,0,0,0,0,0,0,0
36,941,5,6,1,33280,2,0,2,0,2,-1,1,1,1
37,943,5,6,1,33792,2,0,2,0,2,-1,1,1,1
38,945,5,12,1,65536,1,0,1,-1,1,-1,-1,1,0
39,951,5,6,1,133120,2,0,2,0,2,-1,1,1,1
40,954,5,6,0,0,0,0,0,0,0,0,0,0,0
41,955,5,3,1,1048576,1,0,1,-1,1,-1,-1,1,0
42,956,5,3,0,0,0,0,0,0,0,0,0,0,0
43,960,5,12,0,0,0,0,0,0,0,0,0,0,0
44,961,5,6,0,0,0,0,0,0,0,0,0,0,0
45,962,5,6,0,0,0,0,0,0,0,0,0,0,0
46,964,5,12,0,0,0,0,0,0,0,0,0,0,0
47,965,5,6,0,0,0,0,0,0,0,0,0,0,0
48,969,5,6,0,0,0,0,0,0,0,0,0,0,0
49,973,5,3,0,0,0,0,0,0,0,0,0,0,0
50,975,5,1,0,0,0,0,0,0,0,0,0,0,0
51,977,5,1,0,0,0,0,0,0,0,0,0,0,0
52,978,5,3,0,0,0,0,0,0,0,0,0,0,0
53,981,5,3,1,6291456,2,0,2,0,2,-1,1,1,1
54,982,5,3,0,0,0,0,0,0,0,0,0,0,0
55,983,5,1,0,0,0,0,0,0,0,0,0,0,0
