observable_id,observable_code,value,scale_code
0,0,144,0
1,1,8192,0
2,2,13824512,0
3,3,291297468,0
4,4,1138688,0
5,5,1130631,0
6,6,8057,0
7,7,7651,0
8,8,4,0
9,9,11213312,0
10,10,10515968,0
11,11,2601984,0
12,12,2447744,0
13,13,4213120,0
14,14,1815040,0
15,15,7541600,0
16,16,7982592,0
17,17,6796608,0
18,18,4589696,0
19,19,1667584,0
20,20,492736,0
21,21,1,0
22,22,1,0
23,23,1,0
24,24,1,0
25,25,1,0
26,26,1,0
27,27,1,0
28,28,1,0
29,29,1,0
30,30,13,0
31,31,460,0
32,32,1846,0
33,33,3237,0
34,34,2652,0
35,35,18,0
36,36,359,0
37,37,53,0
38,38,63,0
39,39,8223,0
40,40,10083,0
41,41,0,0
42,42,142070,0
43,43,1,0
44,44,47,0
45,45,57,0
46,46,79,0
47,47,110,0
48,48,128,0
49,49,2,0
50,50,4756,0
51,51,4757,0
52,52,12,0
53,53,12,0
54,54,22,0
55,55,22,0
56,56,26,0
57,57,26,0
58,58,2644672,0
59,59,458516,0
60,60,2644672,0
61,61,458516,0
62,62,10529536,0
63,63,102342,0
64,64,1667584,0
65,65,113357,0
66,66,4,0
67,67,7735158,0
68,68,1,0
69,69,1,0
70,70,1,0
71,71,1,0
72,72,32,0
