rank,p37_id,source_count,source_min_rank,source_max_rank,p25_a,p25_b,p25_c,p25_d,p25_e,p25_f,p24_a,p24_b,p24_c,p24_d,p24_e,p24_f,lift_a,lift_b,lift_c,lift_d,lift_e,lift_f,face_a,face_b,face_c,face_d,face_e,face_f,mask_a,mask_b,mask_c,mask_d,mask_e,mask_f,same_lift_flag,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p36_floor_flag,below_p35_floor_flag,below_p34_floor_flag,below_p33_floor_flag,below_p32_floor_flag,below_p31_floor_flag,below_p30_floor_flag,below_p29_floor_flag,below_p28_floor_flag,below_p27_floor_flag,below_p25_floor_flag,support_equal_flag,joint_mult_value
0,142070,2,4756,4757,1,47,57,79,110,128,0,23,28,39,55,64,0,0,1,1,2,2,12,12,22,22,26,26,30,30,45,45,51,51,0,0,0,1083830080,1083830080,1084205056,1084205056,1084322816,1083830080,1084322816,492736,1,1,1,1,1,1,1,1,1,1,1,0,5877006336
1,379071,1,3426,3426,6,12,19,29,94,96,3,6,9,14,47,48,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,407816896,408980992,408487488,408772096,408123904,407816896,408980992,1164096,1,1,1,1,1,1,1,1,1,1,1,0,4242014208
2,594437,1,3427,3427,11,22,37,44,48,142,5,11,18,22,24,71,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,408980992,407816896,408772096,408487488,408123904,407816896,408980992,1164096,1,1,1,1,1,1,1,1,1,1,1,0,4000186368
3,675904,1,6422,6422,13,26,56,106,110,126,6,13,28,53,55,63,0,0,1,2,2,2,12,12,22,26,26,26,30,30,45,51,51,51,0,0,0,296906656,295488704,296266752,296479232,296215872,295488704,296906656,1417952,1,1,1,1,1,1,1,1,1,1,1,0,3897556992
4,905228,1,6423,6423,20,45,78,104,114,128,10,22,39,52,57,64,0,0,1,2,2,2,12,12,22,26,26,26,30,30,45,51,51,51,0,0,0,295488704,296906656,296479232,296266752,296215872,295488704,296906656,1417952,1,1,1,1,1,1,1,1,1,1,1,0,3324248064
5,616087,2,4068,5672,12,14,24,62,126,133,6,7,12,31,63,66,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,614092928,613077312,612694528,612620672,613826688,612620672,614092928,1472256,1,1,1,1,1,1,1,1,1,1,1,0,4794089472
6,1050219,2,4069,5673,32,40,44,80,104,125,16,20,22,40,52,62,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,613077312,614092928,612620672,612694528,613826688,612620672,614092928,1472256,1,1,1,1,1,1,1,1,1,1,1,0,4220780544
7,143436,1,3808,3808,2,3,4,9,50,102,1,1,2,4,25,51,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,381030496,382028960,382498688,381064192,381005312,381005312,382498688,1493376,1,1,1,1,1,1,1,1,1,1,1,0,4086300672
8,1041168,1,3809,3809,31,34,35,42,82,118,15,17,17,21,41,59,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,382028960,381030496,381064192,382498688,381005312,381005312,382498688,1493376,1,1,1,1,1,1,1,1,1,1,1,0,3743023104
9,55687,1,3022,3022,0,18,34,66,86,143,0,9,17,33,43,71,0,0,0,1,1,2,12,12,12,22,22,26,30,30,30,45,45,51,0,0,0,681529280,681749184,682452672,682945856,683072416,681529280,683072416,1543136,1,1,1,1,1,1,1,1,1,1,1,0,5034737664
10,176250,1,3023,3023,2,10,46,58,64,97,1,5,23,29,32,48,0,0,0,1,1,2,12,12,12,22,22,26,30,30,30,45,45,51,0,0,0,681749184,681529280,682945856,682452672,683072416,681529280,683072416,1543136,1,1,1,1,1,1,1,1,1,1,1,0,4752801792
11,297098,1,4686,4686,4,10,12,22,24,136,2,5,6,11,12,68,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,207418240,206604800,207830144,206252032,206786944,206252032,207830144,1578112,1,1,1,1,1,1,1,1,1,1,1,0,3019898880
12,403022,1,4687,4687,6,18,40,42,44,120,3,9,20,21,22,60,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,206604800,207418240,206252032,207830144,206786944,206252032,207830144,1578112,1,1,1,1,1,1,1,1,1,1,1,0,2848849920
13,113357,2,1902,1903,1,14,32,47,57,79,0,7,16,23,28,39,0,0,0,0,1,1,12,12,12,12,22,22,30,30,30,30,45,45,0,0,0,1054627840,1054627840,1056264192,1056264192,1056295424,1054627840,1056295424,1667584,0,1,1,1,1,1,1,1,1,1,1,0,5612765184
14,533419,2,2700,6662,10,12,40,66,124,128,5,6,20,33,62,64,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,226904768,227446784,228471936,226687104,227771712,226687104,228471936,1784832,0,1,1,1,1,1,1,1,1,1,1,0,3025797120
15,836457,2,2701,6663,18,24,44,58,110,132,9,12,22,29,55,66,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,227446784,226904768,226687104,228471936,227771712,226687104,228471936,1784832,0,1,1,1,1,1,1,1,1,1,1,0,3393847296
16,156921,3,3630,4650,2,6,14,29,44,104,1,3,7,14,22,52,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,215334208,216688768,214891712,215995136,216075008,214891712,216688768,1797056,0,1,1,1,1,1,1,1,1,1,1,0,3459907584
17,639525,3,3631,4651,12,22,32,34,37,126,6,11,16,17,18,63,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,216688768,215334208,215995136,214891712,216075008,214891712,216688768,1797056,0,1,1,1,1,1,1,1,1,1,1,0,2739142656
18,399330,1,2856,2856,6,17,32,62,138,140,3,8,16,31,69,70,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,335162176,333883136,334934144,335395712,333525888,333525888,335395712,1869824,0,1,1,1,1,0,1,1,1,1,1,0,4171235328
19,712621,1,2857,2857,14,22,39,80,100,108,7,11,19,40,50,54,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,333883136,335162176,335395712,334934144,333525888,333525888,335395712,1869824,0,1,1,1,1,0,1,1,1,1,1,0,3324248064
20,173242,1,4942,4942,2,10,24,36,66,140,1,5,12,18,33,70,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,222050048,222293088,220554368,221181312,220420096,220420096,222293088,1872992,0,1,1,1,1,0,1,1,1,1,1,0,3271163904
21,843349,1,4943,4943,18,28,34,40,58,108,9,14,17,20,29,54,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,222293088,222050048,221181312,220554368,220420096,220420096,222293088,1872992,0,1,1,1,1,0,1,1,1,1,1,0,2978611200
22,385123,1,1840,1840,6,14,16,18,58,76,3,7,8,9,29,38,0,0,0,0,1,1,12,12,12,12,22,22,30,30,30,30,45,45,0,0,0,259456000,261031936,261330656,259827008,260438656,259456000,261330656,1874656,0,1,1,1,1,0,1,1,1,1,1,0,3142582272
23,556076,1,1841,1841,10,22,32,38,66,84,5,11,16,19,33,42,0,0,0,0,1,1,12,12,12,12,22,22,30,30,30,30,45,45,0,0,0,261031936,259456000,259827008,261330656,260438656,259456000,261330656,1874656,0,1,1,1,1,0,1,1,1,1,1,0,3096576000
24,647925,2,5036,5239,12,27,28,32,52,130,6,13,14,16,26,65,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,308356864,309705280,309392256,309641088,307779776,307779776,309705280,1925504,0,1,1,1,1,0,1,1,1,1,1,0,3255828480
25,708586,2,5037,5238,14,21,36,44,90,98,7,10,18,22,45,49,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,309705280,308356864,309641088,309392256,307779776,307779776,309705280,1925504,0,1,1,1,1,0,1,1,1,1,1,0,3781951488
26,656586,1,4487,4487,12,33,68,97,116,124,6,16,34,48,58,62,0,0,1,2,2,2,12,12,22,26,26,26,30,30,45,51,51,51,0,0,0,718296224,716336704,716765696,716611776,717774656,716336704,718296224,1959520,0,1,1,1,1,0,1,1,1,1,1,0,4907335680
27,773427,1,4486,4486,15,44,74,122,132,143,7,22,37,61,66,71,0,0,1,2,2,2,12,12,22,26,26,26,30,30,45,51,51,51,0,0,0,716336704,718296224,716611776,716765696,717774656,716336704,718296224,1959520,0,1,1,1,1,0,1,1,1,1,1,0,5743706112
28,616426,2,4185,5894,12,14,28,41,64,102,6,7,14,20,32,51,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,239471264,240014240,240084416,239637376,238065696,238065696,240084416,2018720,0,1,1,1,1,0,1,1,1,1,1,0,3229876224
29,981537,2,4187,5895,25,32,36,44,86,118,12,16,18,22,43,59,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,240014240,239471264,239637376,240084416,238065696,238065696,240084416,2018720,0,1,1,1,1,0,1,1,1,1,1,0,3442212864
30,715309,4,4076,5989,14,24,32,40,110,128,7,12,16,20,55,64,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,138788800,138788800,138383104,138383104,140539392,138383104,140539392,2156288,0,1,1,1,1,0,1,1,1,1,1,0,2667184128
31,764414,2,4602,4603,15,33,100,110,128,138,7,16,50,55,64,69,0,0,2,2,2,2,12,12,26,26,26,26,30,30,51,51,51,51,0,0,0,379848928,379848928,380317312,380317312,378157056,378157056,380317312,2160256,0,1,1,1,1,0,1,1,1,1,1,0,4454350848
