source_sector,raw_sector,block_dimension,solution_name,variable,value_mod_1000003
0,32,10,source_fixture,"g[0,0]",12
0,32,10,source_fixture,"g[0,1]",35
0,32,10,source_fixture,"g[0,2]",34
0,32,10,source_fixture,"g[0,3]",32
0,32,10,source_fixture,"g[0,4]",0
0,32,10,source_fixture,"g[0,5]",26
0,32,10,source_fixture,"g[0,6]",5
0,32,10,source_fixture,"g[0,7]",15
0,32,10,source_fixture,"g[0,8]",34
0,32,10,source_fixture,"g[0,9]",18
0,32,10,source_fixture,"g[1,0]",11
0,32,10,source_fixture,"g[1,1]",9
0,32,10,source_fixture,"g[1,2]",10
0,32,10,source_fixture,"g[1,3]",30
0,32,10,source_fixture,"g[1,4]",6
0,32,10,source_fixture,"g[1,5]",6
0,32,10,source_fixture,"g[1,6]",7
0,32,10,source_fixture,"g[1,7]",6
0,32,10,source_fixture,"g[1,8]",11
0,32,10,source_fixture,"g[1,9]",5
0,32,10,source_fixture,"g[2,0]",11
0,32,10,source_fixture,"g[2,1]",4
0,32,10,source_fixture,"g[2,2]",39
0,32,10,source_fixture,"g[2,3]",12
0,32,10,source_fixture,"g[2,4]",26
0,32,10,source_fixture,"g[2,5]",14
0,32,10,source_fixture,"g[2,6]",34
0,32,10,source_fixture,"g[2,7]",22
0,32,10,source_fixture,"g[2,8]",5
0,32,10,source_fixture,"g[2,9]",6
0,32,10,source_fixture,"g[3,0]",20
0,32,10,source_fixture,"g[3,1]",25
0,32,10,source_fixture,"g[3,2]",14
0,32,10,source_fixture,"g[3,3]",31
0,32,10,source_fixture,"g[3,4]",14
0,32,10,source_fixture,"g[3,5]",6
0,32,10,source_fixture,"g[3,6]",22
0,32,10,source_fixture,"g[3,7]",34
0,32,10,source_fixture,"g[3,8]",23
0,32,10,source_fixture,"g[3,9]",4
0,32,10,source_fixture,"g[4,0]",26
0,32,10,source_fixture,"g[4,1]",1
0,32,10,source_fixture,"g[4,2]",29
0,32,10,source_fixture,"g[4,3]",34
0,32,10,source_fixture,"g[4,4]",33
0,32,10,source_fixture,"g[4,5]",36
0,32,10,source_fixture,"g[4,6]",29
0,32,10,source_fixture,"g[4,7]",14
0,32,10,source_fixture,"g[4,8]",30
0,32,10,source_fixture,"g[4,9]",10
0,32,10,source_fixture,"g[5,0]",26
0,32,10,source_fixture,"g[5,1]",27
0,32,10,source_fixture,"g[5,2]",5
0,32,10,source_fixture,"g[5,3]",34
0,32,10,source_fixture,"g[5,4]",30
0,32,10,source_fixture,"g[5,5]",28
0,32,10,source_fixture,"g[5,6]",29
0,32,10,source_fixture,"g[5,7]",19
0,32,10,source_fixture,"g[5,8]",32
