source_sector,raw_sector,block_dimension,target_i,target_j,source_a,source_b,coefficient_mod_1000003
0,32,10,0,0,0,0,614434
0,32,10,0,0,0,1,763354
0,32,10,0,0,0,2,274982
0,32,10,0,0,0,3,10093
0,32,10,0,0,0,4,272470
0,32,10,0,0,0,5,169381
0,32,10,0,0,0,6,303356
0,32,10,0,0,0,7,4668
0,32,10,0,0,0,8,831697
0,32,10,0,0,0,9,232302
0,32,10,0,0,1,0,396564
0,32,10,0,0,1,1,533074
0,32,10,0,0,1,2,418734
0,32,10,0,0,1,3,592587
0,32,10,0,0,1,4,83097
0,32,10,0,0,1,5,738601
0,32,10,0,0,1,6,944745
0,32,10,0,0,1,7,4279
0,32,10,0,0,1,8,345721
0,32,10,0,0,1,9,712945
0,32,10,0,0,2,0,396564
0,32,10,0,0,2,1,533074
0,32,10,0,0,2,2,418734
0,32,10,0,0,2,3,592587
0,32,10,0,0,2,4,83097
0,32,10,0,0,2,5,738601
0,32,10,0,0,2,6,944745
0,32,10,0,0,2,7,4279
0,32,10,0,0,2,8,345721
0,32,10,0,0,2,9,712945
0,32,10,0,0,3,0,357388
0,32,10,0,0,3,1,605588
0,32,10,0,0,3,2,124969
0,32,10,0,0,3,3,350156
0,32,10,0,0,3,4,787451
0,32,10,0,0,3,5,615636
0,32,10,0,0,3,6,172259
0,32,10,0,0,3,7,7780
0,32,10,0,0,3,8,719493
0,32,10,0,0,3,9,387170
0,32,10,0,0,4,0,664605
0,32,10,0,0,4,1,987265
0,32,10,0,0,4,2,262460
0,32,10,0,0,4,3,855204
0,32,10,0,0,4,4,923686
0,32,10,0,0,4,5,200325
0,32,10,0,0,4,6,323937
0,32,10,0,0,4,7,10114
0,32,10,0,0,4,8,635340
0,32,10,0,0,4,9,503321
0,32,10,0,0,5,0,664605
0,32,10,0,0,5,1,987265
0,32,10,0,0,5,2,262460
0,32,10,0,0,5,3,855204
0,32,10,0,0,5,4,923686
0,32,10,0,0,5,5,200325
0,32,10,0,0,5,6,323937
0,32,10,0,0,5,7,10114
0,32,10,0,0,5,8,635340
0,32,10,0,0,5,9,503321
0,32,10,0,0,6,0,89347
0,32,10,0,0,6,1,151397
0,32,10,0,0,6,2,281243
0,32,10,0,0,6,3,87539
0,32,10,0,0,6,4,946865
0,32,10,0,0,6,5,153909
0,32,10,0,0,6,6,793067
0,32,10,0,0,6,7,1945
0,32,10,0,0,6,8,429874
0,32,10,0,0,6,9,596794
0,32,10,0,0,7,0,407559
0,32,10,0,0,7,1,829499
0,32,10,0,0,7,2,112447
0,32,10,0,0,7,3,195264
0,32,10,0,0,7,4,438664
0,32,10,0,0,7,5,646580
0,32,10,0,0,7,6,192840
0,32,10,0,0,7,7,13226
0,32,10,0,0,7,8,523136
0,32,10,0,0,7,9,658189
0,32,10,0,0,8,0,189689
0,32,10,0,0,8,1,599219
0,32,10,0,0,8,2,256199
0,32,10,0,0,8,3,777758
0,32,10,0,0,8,4,249291
0,32,10,0,0,8,5,215797
0,32,10,0,0,8,6,834229
0,32,10,0,0,8,7,12837
0,32,10,0,0,8,8,37160
0,32,10,0,0,8,9,138829
0,32,10,0,0,9,0,307217
0,32,10,0,0,9,1,381677
0,32,10,0,0,9,2,137491
0,32,10,0,0,9,3,505048
0,32,10,0,0,9,4,136235
0,32,10,0,0,9,5,584692
0,32,10,0,0,9,6,151678
0,32,10,0,0,9,7,2334
0,32,10,0,0,9,8,915850
0,32,10,0,0,9,9,116151
0,32,10,0,1,0,0,586972
0,32,10,0,1,0,1,163213
0,32,10,0,1,0,2,184602
0,32,10,0,1,0,3,399102
0,32,10,0,1,0,4,509830
0,32,10,0,1,0,5,844694
0,32,10,0,1,0,6,960602
0,32,10,0,1,0,7,847981
0,32,10,0,1,0,8,50656
0,32,10,0,1,0,9,270828
0,32,10,0,1,1,0,871392
0,32,10,0,1,1,1,732947
0,32,10,0,1,1,2,669220
0,32,10,0,1,1,3,865845
0,32,10,0,1,1,4,300677
0,32,10,0,1,1,5,940970
0,32,10,0,1,1,6,47216
0,32,10,0,1,1,7,360648
0,32,10,0,1,1,8,379769
0,32,10,0,1,1,9,248259
0,32,10,0,1,2,0,871392
0,32,10,0,1,2,1,732947
0,32,10,0,1,2,2,669220
0,32,10,0,1,2,3,865845
0,32,10,0,1,2,4,300677
