fuse_id,face_id,label_mask,label_count,order_count,left_support_sum,right_support_sum,support_sum_match_flag,left_mult_sum,right_mult_sum,mult_sum_match_flag,ordered_support_match_count,ordered_mult_match_count,min_support,max_support,min_mult,max_mult
0,12,30,4,24,3360512,3360512,1,27967488,27967488,1,0,24,59904,283456,884736,2162688
1,22,45,4,24,28257280,28257280,1,93192192,93192192,1,0,24,459776,1993216,2654208,6488064
2,26,51,4,24,25111824,25111824,1,92012544,92012544,1,0,24,648020,1423160,3145728,4718592
