stage_id,stage_code,code_size,root_weight4_count,min_nonzero_weight,external_w24_intersection_count,weight0_count,weight4_count,weight8_count,weight12_count,weight16_count,weight20_count,weight24_count
0,0,4096,42,4,8,1,42,591,2828,591,42,1
1,1,4096,18,4,4,1,18,687,2684,687,18,1
2,2,4096,6,4,8,1,6,735,2612,735,6,1
3,3,4096,0,8,4,1,0,759,2576,759,0,1
