,B-,B+,V-,V+,S-,S+
B-,33,12,8,24,30,32
B+,12,16,4,12,12,20
V-,8,4,14,22,8,20
V+,24,12,22,86,32,64
S-,30,12,8,32,44,44
S+,32,20,20,64,44,104
