weight_type,series,total_dimension_n,count,q_weighted_sum,q_mean,q2_weighted_sum
t985_raw_output_mass,grade0,38,85008,0,0.0,0
t985_raw_output_mass,grade0,40,106260,0,0.0,0
t985_raw_output_mass,grade1,3,20,0,0.0,0
t985_raw_output_mass,grade1,5,120,0,0.0,0
t985_raw_output_mass,grade1,7,420,0,0.0,0
t985_raw_output_mass,grade1,9,1120,0,0.0,0
t985_raw_output_mass,grade1,11,2520,0,0.0,0
t985_raw_output_mass,grade1,13,5040,0,0.0,0
t985_raw_output_mass,grade1,15,9240,0,0.0,0
t985_raw_output_mass,grade1,17,15840,0,0.0,0
t985_raw_output_mass,grade1,19,25740,0,0.0,0
t985_raw_output_mass,grade1,21,40040,0,0.0,0
t985_raw_output_mass,grade1,23,60060,0,0.0,0
t985_raw_output_mass,grade1,25,87360,0,0.0,0
t985_raw_output_mass,grade1,27,123760,0,0.0,0
t985_raw_output_mass,grade1,29,171360,0,0.0,0
t985_raw_output_mass,grade1,31,232560,0,0.0,0
t985_raw_output_mass,grade1,33,310080,0,0.0,0
t985_raw_output_mass,grade1,35,406980,0,0.0,0
t985_raw_output_mass,grade1,37,526680,0,0.0,0
t985_raw_output_mass,grade1,39,672980,0,0.0,0
t985_raw_output_mass,grade2,1,6,0,0.0,0
t985_raw_output_mass,grade2,2,15,0,0.0,0
t985_raw_output_mass,grade2,3,36,0,0.0,0
t985_raw_output_mass,grade2,4,105,0,0.0,0
t985_raw_output_mass,grade2,5,132,0,0.0,0
t985_raw_output_mass,grade2,6,406,0,0.0,0
t985_raw_output_mass,grade2,7,372,0,0.0,0
t985_raw_output_mass,grade2,8,1161,0,0.0,0
t985_raw_output_mass,grade2,9,882,0,0.0,0
t985_raw_output_mass,grade2,10,2751,0,0.0,0
t985_raw_output_mass,grade2,11,1848,0,0.0,0
t985_raw_output_mass,grade2,12,5726,0,0.0,0
t985_raw_output_mass,grade2,13,3528,0,0.0,0
t985_raw_output_mass,grade2,14,10836,0,0.0,0
t985_raw_output_mass,grade2,15,6264,0,0.0,0
t985_raw_output_mass,grade2,16,19062,0,0.0,0
t985_raw_output_mass,grade2,17,10494,0,0.0,0
t985_raw_output_mass,grade2,18,31647,0,0.0,0
t985_raw_output_mass,grade2,19,16764,0,0.0,0
t985_raw_output_mass,grade2,20,50127,0,0.0,0
t985_raw_output_mass,grade2,21,25740,0,0.0,0
t985_raw_output_mass,grade2,22,76362,0,0.0,0
t985_raw_output_mass,grade2,23,38220,0,0.0,0
t985_raw_output_mass,grade2,24,112567,0,0.0,0
t985_raw_output_mass,grade2,25,55146,0,0.0,0
t985_raw_output_mass,grade2,26,161343,0,0.0,0
t985_raw_output_mass,grade2,27,77616,0,0.0,0
t985_raw_output_mass,grade2,28,225708,0,0.0,0
t985_raw_output_mass,grade2,29,106896,0,0.0,0
t985_raw_output_mass,grade2,30,309128,0,0.0,0
t985_raw_output_mass,grade2,31,144432,0,0.0,0
t985_raw_output_mass,grade2,32,415548,0,0.0,0
t985_raw_output_mass,grade2,33,191862,0,0.0,0
t985_raw_output_mass,grade2,34,549423,0,0.0,0
t985_raw_output_mass,grade2,35,251028,0,0.0,0
t985_raw_output_mass,grade2,36,715749,0,0.0,0
t985_raw_output_mass,grade2,37,323988,0,0.0,0
t985_raw_output_mass,grade2,38,920094,0,0.0,0
t985_raw_output_mass,grade2,39,413028,0,0.0,0
t985_raw_output_mass,grade2,40,1168629,0,0.0,0
t985_raw_output_mass,grade3,1,6,0,0.0,0
t985_raw_output_mass,grade3,2,15,0,0.0,0
t985_raw_output_mass,grade3,3,56,0,0.0,0
t985_raw_output_mass,grade3,4,105,0,0.0,0
t985_raw_output_mass,grade3,5,252,0,0.0,0
t985_raw_output_mass,grade3,6,406,0,0.0,0
t985_raw_output_mass,grade3,7,792,0,0.0,0
t985_raw_output_mass,grade3,8,1161,0,0.0,0
t985_raw_output_mass,grade3,9,2002,0,0.0,0
t985_raw_output_mass,grade3,10,2751,0,0.0,0
t985_raw_output_mass,grade3,11,4368,0,0.0,0
t985_raw_output_mass,grade3,12,5726,0,0.0,0
t985_raw_output_mass,grade3,13,8568,0,0.0,0
t985_raw_output_mass,grade3,14,10836,0,0.0,0
t985_raw_output_mass,grade3,15,15504,0,0.0,0
t985_raw_output_mass,grade3,16,19062,0,0.0,0
t985_raw_output_mass,grade3,17,26334,0,0.0,0
t985_raw_output_mass,grade3,18,31647,0,0.0,0
t985_raw_output_mass,grade3,19,42504,0,0.0,0
t985_raw_output_mass,grade3,20,50127,0,0.0,0
t985_raw_output_mass,grade3,21,65780,0,0.0,0
t985_raw_output_mass,grade3,22,76362,0,0.0,0
t985_raw_output_mass,grade3,23,98280,0,0.0,0
t985_raw_output_mass,grade3,24,112567,0,0.0,0
t985_raw_output_mass,grade3,25,142506,0,0.0,0
t985_raw_output_mass,grade3,26,161343,0,0.0,0
t985_raw_output_mass,grade3,27,201376,0,0.0,0
t985_raw_output_mass,grade3,28,225708,0,0.0,0
t985_raw_output_mass,grade3,29,278256,0,0.0,0
t985_raw_output_mass,grade3,30,309128,0,0.0,0
t985_raw_output_mass,grade3,31,376992,0,0.0,0
t985_raw_output_mass,grade3,32,415548,0,0.0,0
t985_raw_output_mass,grade3,33,501942,0,0.0,0
t985_raw_output_mass,grade3,34,549423,0,0.0,0
t985_raw_output_mass,grade3,35,658008,0,0.0,0
t985_raw_output_mass,grade3,36,715749,0,0.0,0
t985_raw_output_mass,grade3,37,850668,0,0.0,0
t985_raw_output_mass,grade3,38,920094,0,0.0,0
t985_raw_output_mass,grade3,39,1086008,0,0.0,0
t985_raw_output_mass,grade3,40,1168629,0,0.0,0
t985_raw_output_mass,total,0,1,0,0.0,0
t985_raw_output_mass,total,1,12,0,0.0,0
t985_raw_output_mass,total,2,42,0,0.0,0
t985_raw_output_mass,total,3,112,0,0.0,0
t985_raw_output_mass,total,4,252,0,0.0,0
t985_raw_output_mass,total,5,504,0,0.0,0
t985_raw_output_mass,total,6,924,0,0.0,0
t985_raw_output_mass,total,7,1584,0,0.0,0
t985_raw_output_mass,total,8,2574,0,0.0,0
t985_raw_output_mass,total,9,4004,0,0.0,0
t985_raw_output_mass,total,10,6006,0,0.0,0
t985_raw_output_mass,total,11,8736,0,0.0,0
t985_raw_output_mass,total,12,12376,0,0.0,0
t985_raw_output_mass,total,13,17136,0,0.0,0
t985_raw_output_mass,total,14,23256,0,0.0,0
t985_raw_output_mass,total,15,31008,0,0.0,0
t985_raw_output_mass,total,16,40698,0,0.0,0
t985_raw_output_mass,total,17,52668,0,0.0,0
t985_raw_output_mass,total,18,67298,0,0.0,0
t985_raw_output_mass,total,19,85008,0,0.0,0
t985_raw_output_mass,total,20,106260,0,0.0,0
t985_raw_output_mass,total,21,131560,0,0.0,0
t985_raw_output_mass,total,22,161460,0,0.0,0
t985_raw_output_mass,total,23,196560,0,0.0,0
t985_raw_output_mass,total,24,237510,0,0.0,0
t985_raw_output_mass,total,25,285012,0,0.0,0
t985_raw_output_mass,total,26,339822,0,0.0,0
t985_raw_output_mass,total,27,402752,0,0.0,0
t985_raw_output_mass,total,28,474672,0,0.0,0
t985_raw_output_mass,total,29,556512,0,0.0,0
t985_raw_output_mass,total,30,649264,0,0.0,0
t985_raw_output_mass,total,31,753984,0,0.0,0
t985_raw_output_mass,total,32,871794,0,0.0,0
t985_raw_output_mass,total,33,1003884,0,0.0,0
t985_raw_output_mass,total,34,1151514,0,0.0,0
t985_raw_output_mass,total,35,1316016,0,0.0,0
t985_raw_output_mass,total,36,1498796,0,0.0,0
t985_raw_output_mass,total,37,1701336,0,0.0,0
t985_raw_output_mass,total,38,1925196,0,0.0,0
t985_raw_output_mass,total,39,2172016,0,0.0,0
t985_raw_output_mass,total,40,2443518,0,0.0,0
