screen_id,homogeneous_sector_count,mixed_sector_count,homogeneous_dimension_sum,mixed_dimension_sum,full_a985_trace_defined,homogeneous_identity_trace_mod_1000003,expected_homogeneous_identity_trace_mod_1000003,pi33_scalar,pi33_identity_trace_mod_1000003,nonzero_homogeneous_trace_values,homogeneous_trace_sha256,mixed_sectors,homogeneous_sectors
signed_turn_screen_0,16,23,34,125,False,34,34,1,2,232,2d4ed6514a8af4b63ba320f1f8259092be17986ae9a2dda5d8e7484e5eef7ff8,"[0,1,4,5,8,11,12,14,15,17,18,20,21,23,27,28,30,31,32,35,36,37,38]","[2,3,6,7,9,10,13,16,19,22,24,25,26,29,33,34]"
signed_turn_screen_1,12,27,20,139,False,6,6,1,2,217,0e7673f9843691924bdd7918b040c1cbc84d2a60e3b87e30408be90cc6ca3f4e,"[0,1,2,3,4,6,8,9,11,12,13,14,15,17,18,20,21,22,23,27,28,29,31,35,36,37,38]","[5,7,10,16,19,24,25,26,30,32,33,34]"
signed_turn_screen_2,16,23,35,124,False,25,25,-1,1000001,193,54777e87160c8211fd348eca27c9521433241f8a7a525f6b2f45ab20b77b1de4,"[0,1,2,3,4,5,6,9,11,12,13,14,18,22,27,29,30,31,32,35,36,37,38]","[7,8,10,15,16,17,19,20,21,23,24,25,26,28,33,34]"
