support_name,legacy_support,raw_support,transported_legacy_support,raw_rank,matrix_unit_rows,resolution_status,transport_status
unit_top_all_39,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",985,985,TOP_RAW_ALL_SECTORS,LEGACY_LABELS_TRANSPORTED
zero,{},{},{},0,0,ZERO_SUPPORT,LEGACY_LABELS_TRANSPORTED
Pi33,{33},{19},{33},4,4,RAW_RESOLVED,LEGACY_LABELS_TRANSPORTED
pure_Sminus_doublet_25_26,"{25,26}","{30,29}","{25,26}",2,2,RAW_RESOLVED,LEGACY_LABELS_TRANSPORTED
mixed_S_channel_6_26,"{6,26}","{9,29}","{6,26}",5,5,RAW_RESOLVED,LEGACY_LABELS_TRANSPORTED
Pi33_plus_pure_Sminus_doublet,"{25,26,33}","{30,29,19}","{25,26,33}",6,6,RAW_RESOLVED,LEGACY_LABELS_TRANSPORTED
Pi33_plus_mixed_S_channel,"{6,26,33}","{9,29,19}","{6,26,33}",9,9,RAW_RESOLVED,LEGACY_LABELS_TRANSPORTED
