observable_id,observable_code,value,scale_code
0,0,144,0
1,1,10296,0
2,2,487344,0
3,3,481008528,0
4,4,11213312,0
5,5,10515968,0
6,6,2601984,0
7,7,2447744,0
8,8,5601664,0
9,9,4213120,0
10,10,1815040,0
11,11,1,0
12,12,1,0
13,13,1,0
14,14,60,0
15,15,226,0
16,16,2,0
17,17,4,0
18,18,2734,0
19,19,3526,0
20,20,0,0
21,21,67415100,0
22,22,1,0
23,23,8,0
24,24,41,0
25,25,52,0
26,26,54,0
27,27,12,0
28,28,12,0
29,29,12,0
30,30,22,0
31,31,22,0
32,32,3384704,0
33,33,15777042,0
34,34,3384704,0
35,35,15777042,0
