rank,p28_id,p25_a,p25_b,p25_c,p24_a,p24_b,p24_c,lift_a,lift_b,lift_c,face_a,face_b,face_c,mask_a,mask_b,mask_c,same_lift_flag,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p27_floor_flag,below_p25_floor_flag,support_equal_flag,joint_mult_value
0,130707,14,24,32,7,12,16,0,0,0,12,12,12,30,30,30,1,1,1,53654016,55932544,54333952,56108288,56256000,53654016,56256000,2601984,1,1,0,1132462080
1,131631,14,32,40,7,16,20,0,0,0,12,12,12,30,30,30,1,1,1,55932544,53654016,56108288,54333952,56256000,53654016,56256000,2601984,1,1,0,1270480896
2,212981,24,110,128,12,55,64,0,2,2,12,26,26,30,51,51,0,0,0,82856256,85134784,82274816,84049152,84283392,82274816,85134784,2859968,1,1,0,1396703232
3,309949,40,110,128,20,55,64,0,2,2,12,26,26,30,51,51,0,0,0,85134784,82856256,84049152,82274816,84283392,82274816,85134784,2859968,1,1,0,1534722048
4,132571,14,40,128,7,20,64,0,0,2,12,12,26,30,30,51,0,0,0,68044224,70744576,65771008,72612096,70269696,65771008,72612096,6841088,1,1,0,1383727104
5,207386,24,32,110,12,16,55,0,0,2,12,12,26,30,30,51,0,0,0,70744576,68044224,72612096,65771008,70269696,65771008,72612096,6841088,1,1,0,1283457024
6,131843,14,33,142,7,16,71,0,0,2,12,12,26,30,30,51,0,0,0,167476416,162818752,164621056,164413184,170899200,162818752,170899200,8080448,1,1,0,2113929216
7,139815,15,32,96,7,16,48,0,0,2,12,12,26,30,30,51,0,0,0,162818752,167476416,164413184,164621056,170899200,162818752,170899200,8080448,1,1,0,2076180480
8,106069,11,28,84,5,14,42,0,0,1,12,12,22,30,30,45,0,0,0,227017664,231203328,235395200,228914144,233592128,227017664,235395200,8377536,1,1,0,1826095104
9,171481,19,36,76,9,18,38,0,0,1,12,12,22,30,30,45,0,0,0,231203328,227017664,228914144,235395200,233592128,227017664,235395200,8377536,1,1,0,2119827456
10,21919,2,16,30,1,8,15,0,0,0,12,12,12,30,30,30,1,1,1,91470336,85596672,92542848,90883008,84019520,84019520,92542848,8523328,1,1,0,1302331392
11,80357,8,34,38,4,17,19,0,0,0,12,12,12,30,30,30,1,1,1,85596672,91470336,90883008,92542848,84019520,84019520,92542848,8523328,1,1,0,1327104000
12,61689,6,30,37,3,15,18,0,0,0,12,12,12,30,30,30,1,1,1,147484032,142532608,142370432,144300736,151144832,142370432,151144832,8774400,1,1,0,1550057472
13,78974,8,22,29,4,11,14,0,0,0,12,12,12,30,30,30,1,1,1,142532608,147484032,144300736,142370432,151144832,142370432,151144832,8774400,1,1,0,1868562432
14,77720,8,12,30,4,6,15,0,0,0,12,12,12,30,30,30,1,1,1,89124224,90611072,91603456,86242432,81904384,81904384,91603456,9699072,1,1,0,1302331392
15,79921,8,30,44,4,15,22,0,0,0,12,12,12,30,30,30,1,1,1,90611072,89124224,86242432,91603456,81904384,81904384,91603456,9699072,1,1,0,1327104000
16,130785,14,24,110,7,12,55,0,0,2,12,12,26,30,30,51,0,0,0,64607744,74181056,73962240,64420864,70269696,64420864,74181056,9760192,1,1,0,1396703232
17,260260,32,40,128,16,20,64,0,0,2,12,12,26,30,30,51,0,0,0,74181056,64607744,64420864,73962240,70269696,64420864,74181056,9760192,1,1,0,1270480896
18,114066,12,24,32,6,12,16,0,0,0,12,12,12,30,30,30,1,1,1,60481024,58109568,56189184,53952640,64158464,53952640,64158464,10205824,1,1,0,1132462080
19,132487,14,40,44,7,20,22,0,0,0,12,12,12,30,30,30,1,1,1,58109568,60481024,53952640,56189184,64158464,53952640,64158464,10205824,1,1,0,1408499712
20,130803,14,24,128,7,12,64,0,0,2,12,12,26,30,30,51,0,0,0,65765696,73023104,63996672,74386432,70269696,63996672,74386432,10389760,1,1,0,1245708288
21,260242,32,40,110,16,20,55,0,0,2,12,12,26,30,30,51,0,0,0,73023104,65765696,74386432,63996672,70269696,63996672,74386432,10389760,1,1,0,1421475840
22,148208,16,36,54,8,18,27,0,0,1,12,12,22,30,30,45,0,0,0,136508928,128812992,131697408,134811200,139289472,128812992,139289472,10476480,1,1,0,1695154176
23,234905,28,38,70,14,19,35,0,0,1,12,12,22,30,30,45,0,0,0,128812992,136508928,134811200,131697408,139289472,128812992,139289472,10476480,1,1,0,1496973312
24,115930,12,40,128,6,20,64,0,0,2,12,12,26,30,30,51,0,0,0,74871232,72921600,67626240,70456448,78172160,67626240,78172160,10545920,0,1,0,1383727104
25,208640,24,44,110,12,22,55,0,0,2,12,12,26,30,30,51,0,0,0,72921600,74871232,70456448,67626240,78172160,67626240,78172160,10545920,0,1,0,1421475840
26,65178,6,66,124,3,33,62,0,1,2,12,22,26,30,45,51,0,0,0,144362752,151776768,141072768,142234880,147730880,141072768,151776768,10704000,0,1,0,1642070016
27,195782,22,58,132,11,29,66,0,1,2,12,22,26,30,45,51,0,0,0,151776768,144362752,142234880,141072768,147730880,141072768,151776768,10704000,0,1,0,1972371456
28,144871,15,96,128,7,48,64,0,2,2,12,26,26,30,51,51,0,0,0,174930432,184566976,174075904,182899200,184912896,174075904,184912896,10836992,0,1,0,2189426688
29,270994,33,110,142,16,55,71,0,2,2,12,26,26,30,51,51,0,0,0,184566976,174930432,182899200,174075904,184912896,174075904,184912896,10836992,0,1,0,2264924160
30,120844,12,116,140,6,58,70,0,2,2,12,26,26,30,51,51,0,0,0,115209440,114396192,111056384,118265088,107331584,107331584,118265088,10933504,0,1,0,1811939328
31,329878,44,108,122,22,54,61,0,2,2,12,26,26,30,51,51,0,0,0,114396192,115209440,118265088,111056384,107331584,107331584,118265088,10933504,0,1,0,1534722048
