policy_id,policy_code,present_flag,certified_flag,required_for_semantic_flag,obstruction_flag
0,0,1,1,1,0
1,1,0,0,0,1
2,2,0,0,1,1
3,3,0,0,1,1
4,4,0,0,0,1
