relation_id,visible_index,source_atom_id,target_atom_id,left_step_atom_id,right_step_atom_id,left_basis_id,right_basis_id,transition_id,left_raw_row_id,right_raw_row_id,normal_form_delta_t,contact_lift_flag,endpoint_pair_raw_row_flag,operation_row_id,semantic_transition_flag
0,0,0,2,23,22,23,22,65,139655,148918,1,1,1,-1,0
1,1,1,5,14,21,14,21,43,115813,123775,1,1,1,-1,0
2,1,1,5,22,12,22,12,37,143348,139655,1,1,1,-1,0
3,1,1,5,22,21,22,21,63,123775,139655,1,1,1,-1,0
4,2,2,11,22,23,22,23,65,139655,148918,1,1,1,-1,0
5,3,5,15,12,15,12,15,35,143348,148575,1,1,1,-1,0
6,3,5,15,12,22,12,22,37,143348,139655,1,1,1,-1,0
7,3,5,15,19,13,19,13,40,31777,41881,1,1,1,-1,0
8,3,5,15,21,22,21,22,63,123775,139655,1,1,1,-1,0
9,4,11,13,11,4,11,4,12,30756,30348,1,1,1,-1,0
10,5,15,10,1,20,1,20,5,97924,97228,1,1,1,-1,0
11,5,15,10,13,4,13,4,13,30756,31777,1,1,1,-1,0
12,5,15,10,13,18,13,18,39,31777,34767,1,1,1,-1,0
13,5,15,10,22,8,22,8,26,141280,139655,1,1,1,-1,0
14,6,13,16,16,24,16,24,49,179440,203295,1,1,1,-1,0
15,7,10,7,8,3,8,3,10,141458,141280,1,1,1,-1,0
16,7,10,7,8,5,8,5,15,99770,141280,1,1,1,-1,0
17,7,10,7,8,14,8,14,24,141280,115813,1,1,1,-1,0
18,7,10,7,13,18,13,18,39,31777,34767,1,1,1,-1,0
19,7,10,7,20,5,20,5,17,99770,97228,1,1,1,-1,0
20,7,10,7,20,14,20,14,42,115813,97228,1,1,1,-1,0
21,8,16,19,24,16,24,16,49,179440,203295,1,1,1,-1,0
22,9,7,18,5,14,5,14,16,99770,115813,1,1,1,-1,0
23,9,7,18,14,5,14,5,16,99770,115813,1,1,1,-1,0
24,9,7,18,18,19,18,19,53,34767,41881,1,1,1,-1,0
25,9,7,18,20,5,20,5,17,99770,97228,1,1,1,-1,0
26,9,7,18,20,14,20,14,42,115813,97228,1,1,1,-1,0
27,10,19,17,16,6,16,6,19,145625,179440,1,1,1,-1,0
28,10,19,17,16,24,16,24,49,179440,203295,1,1,1,-1,0
29,11,18,14,5,1,5,1,4,97924,99770,1,1,1,-1,0
30,11,18,14,14,22,14,22,44,115813,139655,1,1,1,-1,0
31,11,18,14,19,13,19,13,40,31777,41881,1,1,1,-1,0
32,12,17,8,4,13,4,13,13,30756,31777,1,1,1,-1,0
33,13,14,4,1,0,1,0,0,141323,97924,1,1,1,-1,0
34,13,14,4,1,2,1,2,3,97924,141326,1,1,1,-1,0
35,13,14,4,13,17,13,17,38,31777,31536,1,1,1,-1,0
36,13,14,4,19,13,19,13,40,31777,41881,1,1,1,-1,0
37,13,14,4,22,8,22,8,26,141280,139655,1,1,1,-1,0
38,14,8,6,10,7,10,7,21,543,798,1,1,1,-1,0
39,14,8,6,13,4,13,4,13,30756,31777,1,1,1,-1,0
40,15,4,9,10,7,10,7,21,543,798,1,1,1,-1,0
41,15,4,9,13,4,13,4,13,30756,31777,1,1,1,-1,0
42,15,4,9,13,18,13,18,39,31777,34767,1,1,1,-1,0
43,15,4,9,17,13,17,13,38,31777,31536,1,1,1,-1,0
44,15,4,9,17,18,17,18,50,31536,34767,1,1,1,-1,0
45,16,6,3,6,3,6,3,9,141458,145625,1,1,1,-1,0
46,17,9,12,13,18,13,18,39,31777,34767,1,1,1,-1,0
47,17,9,12,20,5,20,5,17,99770,97228,1,1,1,-1,0
48,17,9,12,20,14,20,14,42,115813,97228,1,1,1,-1,0
49,18,3,0,0,2,0,2,1,141323,141326,1,1,1,-1,0
50,18,3,0,2,0,2,0,1,141323,141326,1,1,1,-1,0
51,18,3,0,3,0,3,0,2,141323,141458,1,1,1,-1,0
52,18,3,0,3,2,3,2,7,141326,141458,1,1,1,-1,0
53,19,12,1,5,14,5,14,16,99770,115813,1,1,1,-1,0
54,19,12,1,14,5,14,5,16,99770,115813,1,1,1,-1,0
55,19,12,1,14,22,14,22,44,115813,139655,1,1,1,-1,0
56,19,12,1,18,19,18,19,53,34767,41881,1,1,1,-1,0
57,19,12,1,20,5,20,5,17,99770,97228,1,1,1,-1,0
58,19,12,1,20,14,20,14,42,115813,97228,1,1,1,-1,0
