shell_weight,A_w_1,lambda_2_pair_incidence,tangent_log_hessian_eigenvalue_at_all_equal,strict_local_max_at_all_equal
8,759,77.0,-0.43478260869565216,True
12,2576,616.0,-0.7391304347826086,True
16,759,330.0,-1.1014492753623188,True
24,1,1.0,-2.0,True
